-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Sesimbra,6.437123788275705,6.721483866797134,6.857385152716206,6.308031389126906,6.151889878478824,5.884986307252367,6.427259973581927,5.802751457047533,5.963464086327913,5.704118151342259,5.415528145457106,5.481730333072526,
Moita,5.806528725253877,6.3161010430803035,5.9519100013053,6.404102149965636,6.677626652821126,7.032408262823454,7.594707909645068,8.134465142114712,8.618291558988066,9.603030389764081,10.231922672120074,11.074336826062318,
Montijo,5.734435517054326,6.090079095302632,5.766932501440449,5.8348617941333245,5.444782420826776,5.7703829894707654,6.137756030292616,5.400422236015639,5.613169115591187,5.525223219905756,6.007113266680401,5.965670764736703,
