Year,Birth Rate,Mortality Rate,Divorces,
2021,7.2424595911297995,14.8830234832194,2.63008866297736,
2022,7.059190527120597,15.154153486984672,2.5552186989369097,
2023,6.999691639733917,16.241330821807097,2.2331543683168027,
2024,6.3640955760088405,17.755404817361146,2.551599530121471,
2025,5.636166147419397,18.430955873464647,2.259849385800088,
2026,6.138464187767468,18.47961881212913,2.4797149958228673,
2027,6.1303379650138385,19.437834416565504,2.0954939846722014,
2028,5.447968636040284,21.147389995981772,2.1079264762509236,
2029,4.635152171540529,21.585127509154134,2.02973212862196,
2030,4.860622011652202,22.31166929435064,2.362474478595358,
