-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;1742.8726085454546;1666.6346442578117;1696.075555703167;1604.740516487078;1666.052065507421;
Cascais;2805.4900472226295;2849.362043562983;2589.4549914463655;3030.8383361192946;3509.9587782341823;
Lisboa;3142.202126648808;3025.3087441613584;2973.2223753732374;2767.1119893025234;2711.3636160179108;
Loures;1743.4841454661928;1642.4437215924231;1598.4341383428293;1539.1740942030785;1509.3703161356777;
Mafra;1731.4612624145118;1858.783743884823;1940.8471762666013;2033.750160824175;2154.291522464989;
Odivelas;2062.335196408763;1907.4390889221104;2013.091726758492;1973.8350839260543;1931.824552404349;
Oeiras;2791.8451886591606;4142.226312935932;5203.9522125733465;2293.0205656533813;7676.541155115411;
Sintra;2772.663061617827;3443.7749924204695;3815.2423383495;4497.849980336314;4578.526710600656;
VilaFrancaDeXira;1454.084644152906;1387.9855220763106;1448.500343802502;1468.8084298473225;1461.5116350939988;
Alcochete;1424.0;1463.8539267737974;1370.6123803378396;0;0;
Almada;1753.0;1718.1153000000002;1667.0855574747002;1601.3957348388224;1569.5279597155295;
Barreiro;1310.7170799969876;1397.3767968863663;1485.269008441806;1136.4154558696493;1816.6624060469999;
Moita;1267.778806326804;1045.8029517130303;932.9669513181861;908.9035240115012;881.9081804448357;
Montijo;1396.5971431797739;1345.9954409625368;1359.871744885414;1320.4090850925868;1300.5306710430004;
Palmela;1320.468871025816;1261.8232631168532;1272.9661338650612;1206.9283751110231;1218.2973465053908;
Seixal;1937.5212427429744;3691.804169113047;3398.5391476270174;2908.5216219430013;3743.3989132096253;
Sesimbra;1795.663310064294;1586.020120741885;1494.0053683929;1507.5231112337128;1462.556639723861;
Setubal;1866.231181714678;1548.3936873289897;1703.5484934160434;1624.7342331479035;1590.7320682200636;
