-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;2182.1479116184155;1945.3836219089635;1917.5498730297984;1950.760403503949;1985.8551242719773;
Cascais;2731.914002415966;2995.09514251964;3125.3215742464927;3901.55554034307;4201.899112838824;
Lisboa;3084.336541869273;3138.492453080553;2841.8885555482134;2797.9985938251975;2702.744053488204;
Loures;1969.1239924408085;1651.8509317960238;1614.5408528534783;1561.3694136275044;1520.524637107576;
Mafra;1972.4614432461217;2249.2256517221963;2456.12509491003;2575.5476467640415;2577.9049273320925;
Odivelas;2141.4457060344916;1948.9228274036686;2047.279444788646;2109.520025714161;2152.1115582648094;
Oeiras;2507.5196200413243;4887.505682702461;5718.521380674366;7498.984625407672;2264.4645527493867;
Sintra;3260.9787954081357;4017.0171230006385;4952.002074951336;5390.754243555059;4675.071990410875;
VilaFrancaDeXira;1609.9504912779792;1689.0477450168685;1645.077394127854;1624.2279639184635;1613.2749468305633;
Alcochete;1722.0337120291306;1688.956744481297;0;1300.8485604167045;0;
Almada;1895.4263468537235;1710.8075619864617;1667.0855574746995;1638.8213807837228;1569.5279597155297;
Barreiro;1749.1338091471432;1874.4973695655967;2033.940738255312;2060.022384277678;2251.1633061869593;
Moita;1476.5915539179655;1079.5812013122484;936.7251991514999;908.9035240115011;873.0890986403874;
Montijo;1571.9674127664384;1428.0044977984862;1326.1624856894198;1504.664406285291;1219.8635311818507;
Palmela;1461.7627077987026;1758.9513153171545;1486.9212423296112;1557.7050686630705;1527.617565790341;
Seixal;2220.6817818296518;1850.9229039861918;2563.594634474557;5375.460645572751;4943.213268914448;
Sesimbra;2029.7622855888462;1693.3753581267006;1494.0053683929;1437.9498225166913;1406.5763974404438;
Setubal;2027.8629788025264;1874.2466523064109;1947.797133018697;1839.6281480382825;1714.2490091920954;
