-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;
Amadora;1730.559785792675;0;0;1524.7881784648443;0;0;0;2863.7044749474862;
Cascais;2665.08;2625.237054;2560.0652143308;2563.0027188644203;2564.5543202577164;2680.3347364598094;2637.4281476647025;1502.8737300435414;
Lisboa;3015.0;3132.9759665315405;2885.1288074724616;2878.2970114696186;2959.129497322884;3383.1700305387203;3830.7906061616623;3082.3597631344;
Loures;1658.665;1629.74213325;1601.3674649511;1557.4168765091586;1492.52886984928;1448.1992698858867;1398.1603718541508;1363.4508649745835;
Mafra;1577.0700000000002;1545.686307;1507.3525137432462;1480.6294422593705;1431.2955759958572;1383.9120797409819;1383.6862459151168;1375.6869001812852;
Odivelas;1919.6100000000001;1881.4097610000001;1825.530009688539;1753.596843442072;1736.0608750076512;1667.6531496494583;1618.1221834517196;1602.2731896760938;
Oeiras;2460.15;2409.4976572195933;2363.2102740014993;2270.090359996848;2470.3169842634525;2115.8725611707655;2053.029030231432;2039.185912621464;
Sintra;1565.901544974048;1504.8699347737117;1465.6141371413403;1436.675488991748;1449.9104971665117;1403.8926805566925;1407.9277522793395;1286.7644906572598;
VilaFrancaDeXira;1385.923230087976;1347.6375;1294.535205426375;1256.086215290006;1218.7791986096777;1206.721375565454;1159.0468909028993;1174.2103200089095;
Alcochete;0;1610.518191861747;1468.8896236406504;0;0;0;0;1634.1424477624405;
Almada;0;1855.7757883581232;1685.2321227978878;1711.6082350325125;1673.0772945620477;1682.934380684917;0;1508.235294117647;
Barreiro;1231.5600000000002;1219.2444;1159.4892927962958;1125.0513013109528;1113.8007882978432;1069.9125931737628;2331.401668802163;1705.5052454726251;
Moita;985.0;957.7297079803917;982.5494585014064;985.1003890290743;0;937.641429661754;890.9071339220945;1765.5822121656947;
Montijo;1364.0;1351.4482235054743;1284.178923782964;1246.0375255676863;1215.1351719148447;1186.5196009861913;1149.774515775676;1134.802429138364;
Palmela;1287.0;1261.3887;1223.9241942213;1175.6966975114458;1135.0734432491654;1095.8261513991051;1074.0192109862628;1031.6985687367523;
Seixal;1483.8309378588292;1522.0308907621559;1531.0664790238263;1527.5893096673672;1325.1006163029;1285.7438028980876;1480.6738942181662;1198.3972449674625;
Sesimbra;1573.5239380694325;1539.7371;1515.7274520746705;1532.7589850215436;1487.2345104074184;1484.9429693247569;1324.2637568061486;1292.140364286691;
Setubal;1327.5694350681124;1274.13;1263.6481076764824;1251.0116265997174;1258.2758435911603;1172.9432750977335;1169.642096371261;1117.8992235088456;
