-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,
Amadora,1953.4240052742182,2201.8074205009957,1868.7509629866518,1994.7605827974348,2277.310341699719,2121.362340560139,2138.3146045938447,2271.5083040632217,2007.4739206670574,2003.787847069028,2110.8842258808704,2214.285273508722,2255.193376613055,2462.1032568736823,2535.188426519623,2327.8824309118504,
Cascais,2605.5928926399247,2778.7841430960343,3171.3899863986253,2808.4840927990026,2597.850483666758,2817.131436235177,2953.830503049087,3172.0898767534145,2762.625497678375,2876.475442721574,2818.7233650916633,2846.8324068880233,2852.7799999999997,3090.7720164563075,2883.005241098257,3039.18283265755,
Lisboa,3304.9718809007,3674.411778604699,3946.880599084921,3856.4085719699947,3674.498778195142,3390.1360266996353,3791.846219795633,3764.0091174356203,3813.5941306383856,3811.312110944704,3781.6275646835047,3479.916218641583,3607.1312640815277,3968.603410399601,3958.2884008199135,4059.8967767374806,
Loures,1786.443394691037,1833.78650506898,2140.7047206045745,2061.835450728994,1841.9466805911425,1892.5852975215105,2122.690570699184,2096.1737829908784,1926.6651491810837,2030.6727481424805,2003.889458602057,1920.9334450902504,2075.411801244246,2360.90046635737,2559.254052219188,2642.114414742553,
Mafra,1642.2113533421045,1670.7303853607164,1800.7934199908095,1979.607625318906,2021.4480479235035,2020.8496108770612,1932.0779541871275,1963.0415462478163,1910.948112413718,1831.362946905087,2282.1711712210285,2256.8264645503814,1938.8590172056927,2203.1706582395236,1946.7615072641363,2535.438034758603,
Odivelas,1829.4171604783614,1883.6548445629528,2456.921238488368,2020.5076903954243,2231.246545900265,2142.168897137672,1969.7712391879234,2022.2350781777955,2178.474388532379,2211.247408862263,2047.4212699704203,2118.5550061981885,2003.7112628687935,2372.9868711534837,2303.8995882457552,2327.402327555706,
Oeiras,2617.3921801077636,2272.7283180640497,2326.32445647838,2456.4390522279114,2293.371203033822,2618.2977640846952,2495.281461520727,2199.7081594689253,2410.780681509552,2578.727503517215,2774.4739638686833,2638.8408993389503,2740.361659786031,2849.4180000000006,2890.7173537435783,2901.3481791709064,
Sintra,1502.4332780353484,1528.693040806643,1515.0565139385826,1492.9450855446494,1606.1310396093627,1717.1805089679506,1729.3628780040297,1774.8616479094333,1780.2025953635086,1842.7241472167166,1849.673121435065,1914.57783844405,2060.088875634665,2018.6527401558228,2202.072243252801,2240.560493120745,
VilaFrancaDeXira,1514.4737119100084,1377.8859969363752,1244.5297831622104,1682.8672610603342,1305.391556226334,1402.618341898921,1373.859158124118,1423.9303569759381,1772.673243274004,1534.841470765725,1780.3455978260579,1882.3095133598422,2020.954643648344,1920.039868778997,2140.776584487155,2206.7279652338307,
Alcochete,1754.8433904262301,2171.1282698087534,2254.846412629722,2073.5964239392115,1923.4582933535585,1893.459259752449,1616.4782565086373,2218.559620415962,2375.8519680665336,2101.6149148285704,2670.8220000000006,2538.817265234813,2413.7897198947053,2989.409104313738,2517.1367981993376,2414.380632130461,
Almada,1907.4649647330195,2076.8345761923733,2117.972371446924,2177.444071724667,2003.260170861324,2045.6328223996177,1990.9128360832187,2289.399807062059,2146.715211001435,2162.492966223491,2263.993568741923,2340.1530088340514,2353.1151133067187,2318.7626502501735,2515.9555763060425,2638.149925518795,
Barreiro,1249.865401057621,1321.1529610011382,1286.867671816961,1355.2696565554293,1224.7269975767251,1338.0106962161008,1186.4935672354352,1410.9032590040388,1291.0756844602283,1447.2676360666553,1624.0266474423781,1484.1123561684813,1422.143761583589,2019.576516997933,2096.9869644040673,1992.8514013563045,
Moita,941.5256018608417,1074.4640144375082,1009.2740854424683,1443.5320121382015,1214.8480372429858,1248.0458210530005,1330.3176001012719,1464.6038785142314,1336.5470961594947,1414.5755218189304,1617.7272222817626,1450.3200957434683,1616.1139586099018,1621.1898038992933,1730.709600294857,2305.4916954297396,
Montijo,1543.5215431467277,1607.0494458208343,1723.55044448837,1495.3912931986492,1849.2202457671706,2064.4395553966547,1833.6188698310839,1980.5221934292583,2049.9836291879965,2075.7760567535574,2207.989522555798,2182.2432903406843,2277.1880398284725,2119.353338090085,2370.269956735171,2766.393,
Palmela,1268.1201393936067,1444.2076025361991,1681.058079202298,1711.4021766896324,1579.0232818016389,1761.0169798786228,1936.172928648671,2000.0502808719646,2028.61549577398,2243.33003738731,2184.734328285603,2276.0851703378703,2349.7735120685593,2158.217753427655,2878.14986195308,2765.5917351296416,
Seixal,1464.3138477168325,1663.2823318611238,1818.6189494595142,1970.4600788650976,1829.0681823126167,1843.68702907038,1950.8514512489387,2014.2750004611275,2062.1826133016402,2002.0609401637353,1917.0424324289675,2308.3844118410293,2250.0692471016055,2182.8525988252204,2367.03732893501,2348.7093686167527,
Sesimbra,1435.2764708870666,1433.6630013660806,1788.4579911393312,1460.012073399887,1619.9619774114735,1893.830231637764,1909.3874200891978,1745.351423121985,1957.639845998713,2427.2940664103335,1630.2023227340414,1801.3592625189385,2199.453963352535,2189.088045299132,2514.0765698178093,3083.61,
Setubal,1383.4695773480375,1465.5972970206778,1530.8286135661974,1474.97138177477,1466.534517189896,1591.7234683813765,1469.1701080472494,1780.979338867725,1528.6325398274266,1817.3892137869275,1558.9674970256378,1671.1467193231706,2146.1796851185586,2138.2898707341897,2255.3485491062816,2126.4112964141705,
