-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;1962.9493543442745;2436.8072502549635;1893.5665405707437;1826.0591561734582;1796.966473597035;
Cascais;6432.28519391959;7489.372360906002;2153.466375327895;4663.541652566113;3168.707716693917;
Lisboa;7505.944487400742;5817.975614717636;5786.033775422262;4848.753414987281;4911.548595811678;
Loures;2921.264125998411;1691.603219865523;3044.879059029772;2910.5457636225847;2880.4252571325055;
Mafra;3642.7311132913856;3689.2392964969217;1779.6067001788683;1692.3882646054765;1238.0021109286126;
Odivelas;4524.902472644257;4129.148998912003;2475.4154068989174;2236.034437010657;2371.1325580480298;
Oeiras;2681.2720211415244;4333.32889737253;3535.45954335592;2782.7128612935544;2131.2237855542603;
Sintra;2162.5945230764064;1695.9097903182003;2603.2072929926817;3488.5483976898454;4814.1553566533785;
VilaFrancaDeXira;3763.5375767551295;1354.1088745799896;1299.8370883597286;1248.154162197676;1199.329820760635;
Alcochete;1564.3826181352129;1455.3320641200003;0;0;0;
Almada;1512.4579632137552;1229.9235695999998;1544.2157410475202;1600.0393001380135;1453.8484665887954;
Barreiro;1258.2548376129862;1427.28044834628;0;3373.791952258159;1159.0234383890527;
Moita;1683.3125608902562;1151.20350576;1308.8061615309953;1479.2476582935246;1526.14335353333;
Montijo;1508.0902418600758;2253.616245009496;1653.0433144770802;1041.6550192549666;974.1185372106943;
Palmela;1176.355429825507;2062.223573675896;1389.7127201328562;1267.1938694435612;1223.4091596055819;
Seixal;1517.7634112975986;1523.0384839522033;1683.1427430519816;3989.9241428721125;4022.4548961376636;
Sesimbra;2015.9403169535576;1921.3456527598469;1922.4461579395117;1746.0990869235184;1751.6540054363059;
Setubal;1988.433910004503;1645.0627364980364;1981.8784758203306;1528.9977090347745;1468.9687781364262;
