-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4,2030Q1,2030Q2,2030Q3,2030Q4,
Amadora,1552.9872928403076,1594.0748656505125,1566.8069793002737,1614.3023399815318,1617.1078378285647,1648.986209939179,1885.7966496791564,1786.338790074418,1769.6091791042816,1897.3538627108614,2029.1986723466657,1813.073076860583,1881.3421370289163,1871.8937338976543,1999.7440246057122,1992.4063329404191,1876.6720190210276,1975.2528511228738,2068.2667343123744,1918.7979114018408,1860.9158358005625,1903.3665121228423,1977.0370668307892,1892.3413957032062,1971.7450783339834,1854.1890646014742,1987.460068035858,1875.694519625859,1947.7856357485882,1999.244871085057,1910.1644583539337,1936.2680009381463,1976.4479091880341,1989.864511139739,1995.2562584892917,2037.444717726145,1936.2776053835055,2100.41384630893,2000.4415819789817,1979.457437908697,
Cascais,1962.7290814226994,2139.395852509978,2102.119404037248,2127.897257999343,2157.7917880567056,2257.222028644558,2214.8151835573003,2189.3896076701985,2224.1721107920216,2306.379746527896,2296.044699842759,2340.5236225192575,2411.8477416629376,2258.4571954468643,2300.0248452940937,2319.1316746295543,2258.5114832407844,2368.207902257248,2350.3236286622923,2517.0030325156113,2447.4422556212785,2689.4107240060084,2613.069985248993,2551.8304709320196,2528.064239440689,2629.496180111323,2522.344815073566,2588.6480836084434,2673.199961776525,2707.8673339254187,2667.5767577094093,2664.31842565228,2819.035974129695,2752.501640181719,2549.841061976946,2646.0507780143234,2781.92563488507,2691.834549966171,2826.8994004436,2841.6846494818665,
Lisboa,2142.011477899979,1852.1741959188048,2008.6169728869313,1810.5923157489237,1861.6754094820894,1610.0268415145852,1844.9076336725398,1745.0649625588094,1652.1954804757715,1678.7874724100311,1534.699522180623,1585.3907041236125,1503.737836253966,1441.3247737815263,1465.643408445827,1435.5590788921795,1539.1816668261442,1321.548034299155,1305.7648172150043,1293.2370631106273,1316.4917780926157,1201.636130459656,1331.4326016419705,1264.4487248903995,1373.3656392006403,1242.0892800677498,1183.75960558702,1240.2027449705256,1289.684166626761,1344.3638604413761,1822.6426450875606,1211.8383714627826,1052.0409787474932,906.9141629093072,1199.341176823295,1262.3833750449965,976.306066500915,1122.4668280376673,1046.0071220317013,809.6647382715113,
Loures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mafra,0,0,0,0,0,0,0,0,0,0,0,3022.478569953827,0,0,0,3047.6486090892013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Odivelas,0,0,0,0,0,0,0,0,2695.0976838656957,0,2602.914147254298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oeiras,0,0,0,0,0,0,0,0,0,3501.4084536164873,2634.7762103404593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3624.610643221552,3524.3341691932883,
Sintra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
VilaFrancaDeXira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alcochete,0,0,0,0,2726.8899830847777,0,0,0,0,2868.0611291096766,0,0,2911.706104782934,2798.762329349571,3014.168898177367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Almada,0,0,2248.180587504535,0,0,0,0,0,0,2484.637910466764,0,0,0,3236.010032145136,3000.995724766058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barreiro,2687.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3747.4,3443.016890947877,2972.478398811775,0,0,3502.0938157462633,3139.156635113941,3330.3574524560945,3241.2198374353743,
Moita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2550.2000000000003,3140.6000000000004,0,0,0,0,2712.655440972502,3288.2,3099.6000000000004,3393.5381241160517,3125.053078322327,2753.722659679718,4030.80222555459,
Montijo,0,0,0,0,0,0,0,0,0,0,0,2480.0522913022496,0,0,3406.8931742456357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Palmela,0,0,0,0,0,0,0,3907.7298697707215,0,0,3907.7298697707215,3362.329943842487,0,0,0,3064.2581052295027,3786.33201790733,0,2529.7260502616655,0,0,0,0,3612.9885723248135,0,0,3886.785654935323,0,0,0,0,0,0,0,0,0,4396.463082000091,0,0,3621.100353847706,
Seixal,0,0,3612.9872056279646,3207.342359635917,0,3534.2,2707.1653066642243,2714.566275480146,0,0,0,0,3163.655097318677,2484.6,0,3513.307867376496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sesimbra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3709.926000000001,0,2846.3620882017467,2958.5365426303424,3202.1064752824445,2958.039953633404,2709.3552022609338,0,
Setubal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
