-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,1753,1819,1895,1931,2010,2012,2165,2107,2265,2473,2366,2534,
Cascais,2503,3075,2930,3127,3382,3309,3248,3281,3394,3456,3456,3274,
Lisboa,3236,3593,3930,4026,4283,4406,4706,5044,5218,5382,5800,4941,
Loures,1907,2052,2130,2132,2190,2304,2244,2523,2485,2473,2474,2780,
Mafra,1702,1878,1759,1907,1843,2197,2084,2335,2191,2268,2111,2508,
Odivelas,2018,2226,2321,2380,2330,2498,2455,2682,2948,2526,2717,2848,
Oeiras,2424,2699,2733,2720,2902,2588,3022,3006,2992,3003,3129,3122,
Sintra,1421,1407,1554,1605,1708,1659,1809,1918,2008,2180,2072,2209,
VilaFrancaDeXira,1442,1567,1488,1602,1566,1530,1464,1638,1610,1803,1626,1714,
Alcochete,1532,1782,2164,2078,2164,2207,1762,2254,2438,2483,2341,2232,
Almada,1749,1643,1966,1787,2049,2101,2149,2105,2337,2348,2488,2349,
Barreiro,1206,1207,1186,1361,1239,1330,1414,1527,1603,1576,1580,1172,
Moita,1053,1035,1014,1049,1047,1260,1081,1104,963,1460,2322,933,
Montijo,1534,1579,1902,1853,1665,1885,1944,1748,1848,2599,2241,1804,
Palmela,1175,1189,1269,1397,1386,1831,1386,1467,1569,1632,2198,2174,
Seixal,1427,1617,1567,1817,1853,1921,2023,2049,2067,2285,2237,2477,
Sesimbra,1407,1529,1752,1665,1436,1641,1513,1894,2126,2150,2065,2123,
Setubal,1383,1401,1570,1551,1641,1619,1689,1817,1997,1819,1769,1867,
