-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,604,102,25,23,7,14,18,8,9,11,4,23,
Cascais,356,76,34,20,14,13,16,15,10,13,14,8,
Lisboa,1096,232,62,58,35,31,22,30,22,21,13,23,
Loures,512,89,34,13,16,12,12,12,17,6,6,4,
Mafra,147,34,4,2,3,1,3,2,3,1,1,2,
Odivelas,343,58,16,15,20,12,13,22,11,10,7,9,
Oeiras,377,73,23,6,4,9,11,10,11,9,6,11,
Sintra,944,151,21,21,18,12,25,8,19,19,19,10,
VilaFrancaDeXira,334,41,16,8,6,7,8,5,5,6,1,0,
Alcochete,35,13,6,2,2,1,1,0,0,3,1,4,
Almada,462,94,12,6,6,4,11,10,11,6,7,4,
Barreiro,220,29,10,5,5,1,1,1,5,4,4,7,
Moita,181,24,3,1,0,2,1,2,1,7,1,6,
Montijo,150,20,7,6,0,7,3,1,3,4,4,5,
Palmela,108,14,2,5,4,1,0,3,1,4,2,1,
Seixal,307,50,20,5,8,5,7,8,4,6,1,7,
Sesimbra,71,14,10,1,0,1,3,4,6,1,1,0,
Setubal,289,54,7,9,4,12,0,3,5,7,4,7,
