-,2021,2022,2023,
Amadora,11977,747,747,
Cascais,7720,921,715,
Lisboa,23001,1874,1255,
Loures,10293,826,524,
Mafra,2970,143,111,
Odivelas,6862,1064,588,
Oeiras,7609,540,588,
Sintra,18061,1001,1064,
VilaFrancaDeXira,6338,413,191,
Alcochete,890,64,127,
Almada,9118,492,445,
Barreiro,4194,127,318,
Moita,3320,79,238,
Montijo,2907,175,254,
Palmela,2049,127,127,
Seixal,6068,445,286,
Sesimbra,1525,127,127,
Setubal,5703,302,365,
