-,2021Q1,
Amadora,2114,
Cascais,3145,
Lisboa,3832,
Loures,2352,
Mafra,2006,
Odivelas,2487,
Oeiras,2913,
Sintra,1761,
VilaFrancaDeXira,1787,
Alcochete,2122,
Almada,2360,
Barreiro,1223,
Moita,1188,
Montijo,1827,
Palmela,1481,
Seixal,1767,
Sesimbra,1724,
Setubal,1701,
