-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,576,108,32,16,14,12,7,22,10,6,14,18,
Cascais,362,83,40,26,18,13,12,21,13,13,11,10,
Lisboa,1097,241,85,56,57,37,22,23,21,33,19,17,
Loures,518,101,29,14,11,22,19,35,22,9,5,4,
Mafra,149,23,6,3,2,5,4,2,2,8,1,4,
Odivelas,344,77,16,10,7,15,21,16,14,11,12,10,
Oeiras,372,82,16,16,17,16,21,20,15,8,7,4,
Sintra,912,166,30,29,20,20,23,17,10,13,24,8,
VilaFrancaDeXira,330,54,14,16,8,16,9,14,4,10,1,8,
Alcochete,34,9,2,3,0,0,0,0,0,1,0,0,
Almada,465,77,24,17,23,10,10,10,14,4,15,8,
Barreiro,212,29,12,1,5,12,6,9,4,1,1,15,
Moita,179,23,5,11,3,12,2,7,5,7,6,3,
Montijo,153,21,9,4,3,3,6,7,1,5,2,3,
Palmela,106,17,6,4,4,0,3,3,1,4,2,2,
Seixal,310,51,11,5,7,9,4,7,9,9,14,10,
Sesimbra,77,15,2,2,7,0,5,3,0,2,3,2,
Setubal,280,51,19,16,9,12,14,8,4,2,7,4,
