-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,1786,1846,1773,2081,2099,2010,2101,2103,2275,2239,2483,2483,
Cascais,2586,2994,3037,3178,3290,3293,3375,3227,3494,3431,3607,3631,
Lisboa,3209,3608,3828,4037,4231,4477,4725,5167,5106,4408,5787,4893,
Loures,1905,1970,2040,2124,2163,2311,2329,2382,2435,2662,2590,2746,
Mafra,1652,1869,1868,1878,2012,2264,2119,2243,2482,2440,2442,2247,
Odivelas,2042,2227,2225,2320,2431,2435,2481,2807,2633,2635,2798,2870,
Oeiras,2451,2612,2701,2690,2767,2807,2952,2934,3098,2985,3090,3144,
Sintra,1415,1361,1453,1642,1683,1822,1962,2011,2075,2150,2261,2304,
VilaFrancaDeXira,1495,1488,1479,1509,1505,1557,1639,1552,1377,2190,2141,1879,
Alcochete,1602,1731,2072,1854,2218,2090,2096,2776,2915,2690,0,2291,
Almada,1708,1683,1887,1974,1961,2154,2298,2345,2310,2348,2466,2528,
Barreiro,1163,1397,1301,1278,1366,1557,1578,1654,1683,1675,1830,1933,
Moita,1039,935,985,1016,946,1080,1478,1371,1208,1349,1278,1531,
Montijo,1435,1633,1707,1773,1903,2042,1985,1856,2164,1958,2285,2166,
Palmela,1193,1234,1315,1292,1349,1799,1439,1963,1423,1863,2494,2150,
Seixal,1365,1676,1714,1780,1773,1879,2023,1938,2133,2328,2499,2445,
Sesimbra,1470,1593,1649,1717,1639,1812,1712,1987,1801,2055,2782,2597,
Setubal,1408,1448,1501,1625,1633,1685,1869,1827,1943,2009,1819,1879,
