-,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,
Amadora,9.743890408483413,9.63712466734728,11.703488902635769,9.510494553560877,11.81901735615759,11.894498649981408,
Cascais,11.022318864977183,14.19230982666532,13.542195864567093,13.709892475005708,12.741959738999505,14.136448309955286,
Lisboa,12.418459673778273,14.18820690319591,15.255074095736518,14.768519201718378,15.766796334471206,14.364376182411707,
Loures,8.260244455568992,9.919408513905172,10.169013927904183,8.978564371848158,8.26901052405498,11.867717732662422,
Mafra,7.17599194641242,5.515483885547672,6.795357785883882,8.606163617686068,9.314021072917967,7.08986303165806,
Odivelas,8.941838545400008,8.486368638319295,8.40100436431393,10.593659378119,11.232300735589662,13.333435907049996,
Oeiras,10.540590876624533,12.168474164214704,12.45306209803395,13.229698734877868,12.55944739417711,12.08067669449901,
Sintra,7.496136962561392,7.796687855059222,7.669276087400551,8.102598013917046,11.316969492659233,8.437283664398084,
VilaFrancaDeXira,7.553155621946396,8.573222685745575,9.15935039811777,7.950231894835436,7.217739295399033,9.479481529101424,
Alcochete,6.544536332178668,8.58254057723606,0,0,7.603071657747478,0,
Almada,8.924411590099911,8.936273013669638,9.634934540010418,10.096262483394835,11.400266412975263,11.081814109751505,
Barreiro,7.277124348807643,8.80187653101189,8.514683008465038,8.76071483102746,8.548431605774558,9.818992654333355,
Moita,6.150596027911411,6.369747385333968,6.674139155994503,5.968421722052007,7.616426583277289,5.885838398816759,
Montijo,6.757103164771026,7.9255718785670615,8.648910066730163,5.802079909006796,8.835105902126164,8.120817512697057,
Palmela,6.603050976468522,7.248242965509235,5.089078385264213,8.108341325108395,9.127248381336521,9.691193655974432,
Seixal,7.008635778912571,8.096033028587351,7.027303272348425,8.430981378312513,9.787202949355226,8.7804891899878,
Sesimbra,6.593143378161732,7.806262637854708,9.54394038857879,9.600320438202385,8.169882936890911,8.68957799536368,
Setubal,6.962898303511284,6.785397741711585,8.585829955266515,7.166529837177285,7.1502751055859255,7.551835448298037,
