-,2021,2022,2023,
Amadora,11628,874,762,
Cascais,8117,1017,747,
Lisboa,23494,2208,1430,
Loures,10516,1382,635,
Mafra,2875,207,238,
Odivelas,7101,937,747,
Oeiras,7720,1175,540,
Sintra,18061,1271,874,
VilaFrancaDeXira,6576,747,365,
Alcochete,762,0,16,
Almada,9261,842,651,
Barreiro,4035,508,334,
Moita,3463,381,334,
Montijo,2970,302,175,
Palmela,2113,159,143,
Seixal,5989,429,667,
Sesimbra,1525,238,111,
Setubal,5814,683,270,
