-,2021,2022,2023,
Amadora,23510,9197,9817,
Cascais,18887,2081,1160,
Lisboa,43636,1652,1271,
Loures,23414,7101,7291,
Mafra,6592,556,334,
Odivelas,15059,5099,3574,
Oeiras,16012,3796,3542,
Sintra,37123,8197,10055,
VilaFrancaDeXira,12406,4067,4670,
Alcochete,1446,238,95,
Almada,20920,6116,7577,
Barreiro,8896,1541,1509,
Moita,7021,937,635,
Montijo,5083,905,985,
Palmela,4273,207,79,
Seixal,11374,1239,826,
Sesimbra,3066,191,191,
Setubal,11104,4877,4893,
