-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,952,305,90,133,118,130,155,176,180,165,143,130,
Cascais,781,259,102,47,39,37,27,28,33,15,11,14,
Lisboa,1826,661,186,74,44,19,19,22,18,30,17,15,
Loures,942,296,135,101,91,106,124,126,117,122,118,102,
Mafra,256,101,37,21,10,14,6,5,9,6,2,4,
Odivelas,558,233,92,65,81,73,88,79,67,59,45,54,
Oeiras,649,224,89,46,56,61,52,70,67,53,49,54,
Sintra,1515,511,183,128,113,116,139,148,135,157,176,165,
VilaFrancaDeXira,493,171,66,51,57,51,78,70,75,77,77,65,
Alcochete,50,23,13,5,6,5,3,1,2,1,0,3,
Almada,852,285,102,78,87,89,98,111,129,114,117,117,
Barreiro,415,90,27,28,22,27,29,19,27,23,27,18,
Moita,284,107,33,18,17,12,19,11,12,13,6,9,
Montijo,201,79,22,18,11,22,12,12,22,17,13,10,
Palmela,179,68,12,10,7,4,2,0,4,1,0,0,
Seixal,462,174,57,23,18,24,21,15,13,18,11,10,
Sesimbra,128,45,14,6,6,5,0,1,0,1,4,7,
Setubal,454,130,62,53,55,63,85,104,98,86,67,57,
