-,2021Q1,
Amadora,2076,
Cascais,2662,
Lisboa,3815,
Loures,2310,
Mafra,2125,
Odivelas,2258,
Oeiras,2934,
Sintra,1761,
VilaFrancaDeXira,1602,
Alcochete,2176,
Almada,2185,
Barreiro,1438,
Moita,1242,
Montijo,1584,
Palmela,1269,
Seixal,1655,
Sesimbra,1778,
Setubal,1748,
