-,2021Q1,
Amadora,47,
Cascais,20,
Lisboa,61,
Loures,26,
Mafra,11,
Odivelas,18,
Oeiras,26,
Sintra,61,
VilaFrancaDeXira,21,
Alcochete,1,
Almada,31,
Barreiro,19,
Moita,12,
Montijo,8,
Palmela,14,
Seixal,17,
Sesimbra,5,
Setubal,25,
