-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,389,68,38,27,47,30,9,6,9,22,19,11,
Cascais,260,40,9,18,20,17,11,9,1,6,4,5,
Lisboa,788,42,29,29,12,17,16,16,12,21,14,16,
Loures,375,43,12,27,26,21,11,12,4,18,18,6,
Mafra,86,19,4,5,2,8,1,0,4,0,1,4,
Odivelas,214,40,22,18,22,27,20,14,5,0,13,6,
Oeiras,252,32,11,14,10,7,5,5,4,14,2,8,
Sintra,490,71,42,40,38,30,23,11,9,8,22,14,
VilaFrancaDeXira,185,23,13,12,15,6,10,10,3,9,3,4,
Alcochete,32,8,3,3,5,3,2,1,0,0,0,0,
Almada,295,42,20,17,15,9,15,8,3,6,13,12,
Barreiro,131,16,8,6,9,13,8,1,1,4,0,5,
Moita,109,11,9,7,8,7,8,1,0,3,0,0,
Montijo,87,10,5,9,2,4,0,1,1,0,7,12,
Palmela,87,12,3,6,7,9,3,0,4,1,5,2,
Seixal,175,21,9,23,19,10,16,4,2,5,4,1,
Sesimbra,46,8,2,1,3,2,3,3,0,1,0,2,
Setubal,191,17,11,5,8,10,5,2,3,5,4,6,
