-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,1742,1850,1956,1896,2182,2527,2417,2116,2096,2398,2081,2523,
Cascais,2257,2496,2630,2874,2995,2776,3203,3127,3195,2940,3103,2934,
Lisboa,3009,3571,3655,3661,3493,3792,3753,3976,3911,4012,3877,3856,
Loures,1778,1863,1880,2220,2186,2299,2415,2251,1858,2209,2306,2590,
Mafra,1540,1745,1905,2031,2020,2241,2406,2397,2490,2437,2212,2380,
Odivelas,1852,2185,2111,2256,2523,2467,2649,2561,2425,2614,2235,2581,
Oeiras,2397,2630,2773,2632,2827,3180,2863,3102,3081,3033,3140,3277,
Sintra,1439,1516,1549,1559,1742,2012,1864,2071,2001,2039,2209,1928,
VilaFrancaDeXira,1357,1466,1566,1642,1864,1733,1798,1685,1570,1919,2311,2371,
Alcochete,1330,2003,1392,1517,2165,2291,2103,2402,2165,2163,2192,3739,
Almada,1828,2020,1905,2085,2220,2548,2560,2511,2363,2543,2440,2449,
Barreiro,1217,1375,1476,1484,1302,1323,1260,2056,1630,1417,1975,0,
Moita,1116,876,1064,946,823,1374,1360,1338,1500,1387,1913,1217,
Montijo,1461,1536,1622,1960,1965,2564,2181,2483,1893,2548,2583,2504,
Palmela,1167,1196,1102,1434,1466,1452,2405,1730,1731,1746,3022,2313,
Seixal,1427,1515,1499,1995,1968,2130,1941,2131,2044,2221,2649,2560,
Sesimbra,1279,1550,1794,1938,1833,1717,2069,2104,1732,1990,2019,2051,
Setubal,1311,1273,1467,1373,1735,1683,2039,1892,1718,2240,2207,1647,
