-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;1683.1829785879575;1663.6763214352159;1603.3692241313997;1540.1900792574181;1504.4828988069553;
Cascais;2665.08;2743.1482214714383;2585.9244589200002;2526.6871990806303;2950.7686253029988;
Lisboa;2984.85;3043.1261462728366;2950.4523498118388;2807.3567364978244;2714.682654603311;
Loures;1658.665;1668.359130715869;1592.4334601962921;1538.215405611343;1499.0323351413067;
Mafra;1615.7420159198766;1564.870239460758;1549.9702134581696;1486.2002529384624;1502.6069969987109;
Odivelas;2047.9101785558885;1911.7127509698232;1923.2893174806784;1855.3635671501388;1750.8225644940694;
Oeiras;2593.329434251921;3304.3626954978126;4344.0750595814925;5536.963739187294;6659.895579250174;
Sintra;1966.982645828844;2765.4204781826634;3208.918414813907;3544.7293329234376;3827.909734956477;
VilaFrancaDeXira;1608.5529086409242;1371.3284736104904;1339.9753609455267;1289.9565599974337;1234.8197331321337;
Alcochete;1409.76;1388.684088;1354.2098310575998;1300.8485604167045;1262.2120573237678;
Almada;1735.47;1718.1153000000002;1792.0830556557712;1872.6321485394487;1577.4754707583497;
Barreiro;1244.0;1263.5225339912145;1183.0316220756;1203.6336904190057;1169.539492209288;
Moita;1018.4041391507049;965.3984999999999;933.0632647780225;908.2051295821675;883.0754381027285;
Montijo;1386.5181103857901;1344.5957713348766;1292.2124648132892;1251.7295520630607;1221.4080454352315;
Palmela;1388.5331506237821;1280.1559794828215;1223.9241942213;1187.572421728733;1146.4391309782823;
Seixal;1567.7047329788297;1584.159380549196;3839.7170659958115;2048.0151220597795;1472.9993247950354;
Sesimbra;1601.8614400515557;1550.3394482758868;1505.4003710375432;1469.2847758439646;1430.8466401339256;
Setubal;1464.6504240749703;1304.5492579278457;1254.1228895382988;1224.869112518718;1219.5099739637014;
