-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;1494.4590269986966;0;0;1405.7606835665058;0;
Cascais;0;0;0;0;0;
Lisboa;0;2152.14235510824;1958.25565644984;0;2168.580878874952;
Loures;1459.2101811538892;1600.8276435628982;0;0;0;
Mafra;1540.129719543869;0;0;0;0;
Odivelas;0;0;0;1963.3312682918408;1966.112620500036;
Oeiras;0;1655.8457489611706;2601.9163426032374;2449.82634006685;2474.3965524878777;
Sintra;1649.1234414905643;1670.3242838712454;1813.569643004804;1717.677195955966;1012.9314640171431;
VilaFrancaDeXira;1045.0586232001165;1546.0752662429072;1571.6441960667357;2346.5500894912025;1122.6777813156132;
Alcochete;0;0;0;966.3794678398651;0;
Almada;1226.5396647937773;1739.5473113941885;0;1648.8879363948638;0;
Barreiro;1704.4409962306556;0;0;977.9248027975761;0;
Moita;1549.1336548665613;900.1915791581695;813.705126296436;1076.2146692604774;1070.8687879991573;
Montijo;0;1283.0685119999998;1244.960094125088;0;0;
Palmela;962.6007981210362;1643.7718923120008;1594.950223338442;1617.8960576757886;0;
Seixal;1191.6716716575675;1321.6060439999999;1145.9357346430236;0;1246.1929687478907;
Sesimbra;0;1372.2838122595485;1342.547049763787;0;1314.898774098575;
Setubal;1248.4580212307349;0;1623.5164076664855;1025.5447563190965;0;
