-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,
Amadora,1846.7957120462597,2206.764925828804,2078.714902341626,2193.894375438096,2106.0117957185366,2162.571476532122,2061.074267974947,2213.049939023833,
Cascais,2589.3323838016804,3055.500523408664,2926.696062796125,3163.6748074030056,3104.8635174400047,2979.3307159492974,3070.5535199546543,3177.590044183879,
Lisboa,3339.877804816932,3790.129173400782,4185.275443012629,4214.51508251005,4250.8818493139515,4392.845283574774,4220.841194356096,4151.4889106157425,
Loures,1719.2715905797377,1873.24256438663,1894.5068084476516,2023.5562067066023,2029.5355861394125,1970.8645125592927,2004.8228646851433,2144.124543214475,
Mafra,1661.421032734556,1972.8752875254822,1606.2056339514825,1783.71160913811,2109.632635628706,1897.8485482821036,2204.5044385367587,1980.0352812142946,
Odivelas,2006.548335424116,2203.638623853329,2388.128835238848,2043.2843536238904,2246.863053829617,2192.5146272711377,2176.4112307360992,2461.6806272143867,
Oeiras,2573.8349601361815,2482.1886070120263,2478.1459683867192,2240.748150111295,2407.6748162303866,2687.9686537889106,2477.739233848883,2575.0434721881143,
Sintra,1474.9477519297338,1471.1341844367164,1738.2961436814492,1672.087267627793,1692.9963525047167,1582.9267958464518,1653.863880816588,1679.8913674527098,
VilaFrancaDeXira,1514.4788399273723,1400.8843003593788,1446.0327062439815,1618.5488090646938,1722.025882344748,1759.516233724547,1793.1637511432964,1761.597501909361,
Alcochete,1523.399041150476,2031.5044590820341,2298.414774651842,2501.2722164674747,2964.4573628066373,1994.7707096352083,2234.4394326214597,0,
Almada,1945.1666641812567,2096.9039863182384,2373.5577705870883,1975.0571825420268,2027.821113318037,1990.3577997623188,2167.461528251908,2363.5476693653527,
Barreiro,1172.4414800781153,1468.1439214847562,1246.6821240703969,1482.4293533827831,1458.5896049473165,1655.6081888522015,1809.627310958473,1400.5005165484504,
Moita,993.044124647443,1139.6616412678552,1121.9694914626057,1282.637933958094,1157.6451855539694,1488.5931309680154,1332.5925270449861,1468.65867562309,
Montijo,1438.0549242815123,1701.8894105201816,1804.8266203342873,1655.1880809682223,1797.2370406966006,1825.0296914015535,2325.8262411590663,2009.5560311924328,
Palmela,1363.825803437484,1272.2219064839605,1389.6707026467432,1563.6390292162387,1767.7448853873682,2000.9735825984471,1890.7956261907284,1985.6486292473467,
Seixal,1530.6485253986725,1539.2280805028643,1714.0186211966263,1638.635668365858,1708.7332447609192,1707.9587241184045,1764.0121268139314,1879.0841266337397,
Sesimbra,1455.0508945014808,1651.5500630856336,1548.8283289832398,1571.6079884456049,1508.3057974469968,2150.3966634601757,1839.8925711890026,2081.1403683354656,
Setubal,1360.528533381924,1516.392088554987,1521.5042332493101,1526.6352682273446,1658.280251860892,1527.2378410994506,1756.9643809753054,1721.354331458841,
