-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,
Amadora,1824.9057315904668,2112.904729881376,1949.9759325361547,1990.037926923093,2125.5278154141233,2061.856384355524,1929.7522282496834,2118.643850290308,2071.388827910924,2058.0083592301808,1972.8414739968334,2153.9487478864316,2217.635705583161,2123.539231299804,2154.857212923029,2096.9123587112244,
Cascais,2420.031387165153,2808.971900542686,2648.7992249830777,2767.819838219911,2977.1167304834853,2485.906443968357,2979.98516160251,2894.5271779476393,2871.3940000000002,2808.8270964391813,2854.7136864065105,2905.435076783882,2818.1070667246963,2856.2361342716326,2756.272247157063,2782.894742251983,
Lisboa,2958.390343686059,3457.0952765337397,3392.6208127089562,3345.7235362885103,3460.0855422600157,3598.937516336735,3673.4046343498185,3693.008179484049,3570.9650524514177,3592.878710301413,3632.1232406415666,3574.880233375925,3710.418539007313,3603.0534729195215,3626.161884633944,3745.3276929142985,
Loures,1760.8213223833254,1889.949930955986,1604.6277576890254,1724.5651750484672,1986.3620628479553,1948.2123853978828,1994.5781701134447,1866.9644192182195,1977.3188012719856,1970.8172686359917,1771.2889917791576,2067.8049167656836,1971.6710825986502,2075.69059573425,1964.928312034316,2234.13710527858,
Mafra,1529.1694963968464,1557.343923862071,1696.6484269192324,1758.099369560028,1647.2614371478353,1950.937029681529,1979.5763078871844,1983.1710166326989,1962.4152171973958,1897.940107680292,1832.4749300997628,1984.2775007308285,2200.9454090645854,2144.1403518229263,1979.1725187025975,2051.5268381283195,
Odivelas,1801.2214966803886,2078.994065313784,1810.0374312506442,1822.415203114705,2193.611746505846,1889.3962551727964,1913.6672102017774,2176.691045306059,2011.5624658929537,2212.5973027680116,2044.9418257536254,2440.1997378978085,2100.4661320814025,2330.198628528894,2025.7653239032866,2089.2008853748907,
Oeiras,2208.296661143515,2412.6172635545995,2172.5115614776596,2300.9486082676285,2270.6237456109266,2168.074752841564,2451.4982551152884,2293.8995674934167,2171.536792316456,2292.51960881545,2365.749237331489,2209.2192002133816,2380.287376945079,2235.570330137334,2224.161583619003,2142.7515328042573,
Sintra,1427.576521936378,1462.0384853600983,1501.1954431864478,1621.605588705063,1431.0174380945882,1593.2745002147042,1502.3614020864113,1574.0460615716386,1497.5678045974216,1652.5795872554518,1728.5105422217475,1666.7066968109707,1658.266710520073,1835.743172101597,1815.8361706864116,1900.1111655660575,
VilaFrancaDeXira,1430.7187243549436,1577.015737933019,1246.8472628930147,1503.118757810281,1594.8221240188218,1516.1681100364676,1607.1099469222731,1599.4965318165614,1499.3376279521094,1547.8671223922915,1670.192347959352,1706.724776822121,1610.4793593655493,1657.5855420838295,1764.2955226728404,1793.4010882195266,
Alcochete,1604.574723819067,1400.2315748599617,1612.989928932095,1378.6276776866307,1666.4133298941138,2212.955334614783,1560.7326750160646,1757.2176846980933,2324.9685295930694,1569.4002902841019,2160.8427031749834,2533.2069498912,3309.3023265038064,2889.7033921421184,1475.761328866109,2112.8770097304323,
Almada,1888.6078267966063,2248.5118971293186,1790.8478177243387,1986.693434670557,1948.8745468097063,1941.9077326517215,1924.7976684591654,2089.6712468907235,2041.952130463303,2015.1761320056153,1928.4831767431597,2303.7678477363493,2044.7781680566698,1998.4903669360863,2200.06564279849,2125.7675517756443,
Barreiro,1170.2853474436633,1177.2215138512117,1218.4826680649164,1280.2658076350515,1166.9752207549416,1141.8975502421185,1265.8225376751195,1326.9908673902328,1194.9706973267873,1372.3480548293423,1359.736430621911,1287.5248185657078,1378.8284097626638,1508.1515932670004,1728.642684332463,1598.6943314453697,
Moita,959.8516320560032,1121.2068786381956,977.265252771088,1021.6763795452537,1226.784087837712,1187.9345654818292,1135.2727961359883,1193.02177201499,1246.8380034058475,1441.2803274099902,1406.8919666145907,1425.9720681727397,1351.4600119615766,1551.4618862616874,1800.1729915566705,1661.100874537772,
Montijo,1435.2225522364881,1553.6842594409932,2075.841295651994,1902.6448428623507,1777.7771851889188,1795.8689078825878,1973.7509517488895,1801.4848194180956,1872.6565817155818,1852.969547112403,1868.727308687976,1995.8939720278643,2151.9365341033144,2234.0892930393184,2059.72252036299,2252.1837870131076,
Palmela,1211.4870364774054,1377.3690055258219,1282.7956859963533,1440.7061681879911,1454.676829812817,1746.8039765647243,1658.621421557523,1733.8041784589066,1757.1835305667387,1737.1743099124333,1750.9210356783587,2019.677610369479,2118.1752882551864,2371.830120825564,2308.5438015662266,2344.6513425338894,
Seixal,1351.1777869501914,1546.0307171258858,1679.3992094401763,1708.5873585674822,1614.2058652178741,1712.3636422270429,1660.1014319848011,1844.878618114735,2039.504248943856,1850.376405754109,2008.7116991461162,2252.7258973862254,1992.9869136533464,2193.8627770329813,2179.313228781537,2208.74873495266,
Sesimbra,1435.5506864887282,1716.61369971988,1678.6482583576542,1528.056971165837,1396.352389387481,1443.5868562466028,1536.0042257456575,1634.0509707271697,1897.2026455468535,1605.1340847057209,2000.3349934272878,1776.099059915915,1932.107488582557,2117.5930117808753,2106.6449234298557,2214.6794541843574,
Setubal,1332.326367992831,1394.6365001808313,1288.813216197654,1636.5262501762602,1316.7175829625694,1482.735995313914,1603.9667614007599,1516.136363797635,1426.231259217498,1419.8306782840823,1676.436801374301,1676.1973964076121,1838.0516339451158,1878.277868405901,2012.684206004999,1977.9455389941743,
