-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;1137.664;1092.8354991206402;0;0;0;
Cascais;2473.1366455350712;4256.9208;0;3784.0247463803153;2049.942327801605;
Lisboa;2893.959185698881;3718.416974220596;0;0;4100.471855903517;
Loures;3301.191493278111;2344.1393796599687;2830.3029197080223;2027.8621266540858;0;
Mafra;3065.8790073288264;0;0;0;1463.2341184405384;
Odivelas;2807.9675071701877;1882.01801106;0;0;1693.5102718652483;
Oeiras;3826.0392417632565;2681.5613976756003;0;1546.3355589223079;1485.4037680218887;
Sintra;2350.8601084531115;1709.133628206498;1476.9727809289125;1279.2236883832525;1959.002508419099;
VilaFrancaDeXira;2261.4590409029693;1132.6080527974093;0;0;0;
Alcochete;0;0;0;0;0;
Almada;1308.4460236859609;0;0;1308.4460236859609;0;
Barreiro;1373.184;0;0;0;951.7803778071858;
Moita;1178.1;1082.0141344375693;574.1673179930963;0;1054.7979973421939;
Montijo;1494.8;0;0;0;0;
Palmela;1789.231584969732;1343.991528;1627.2593838088571;0;0;
Seixal;1987.064;1928.046212136;1889.6780925144933;1529.7415458041087;0;
Sesimbra;0;0;2018.780697728718;2056.5069581172206;0;
Setubal;1244.3224431050917;1047.2225581818;1009.8316082475123;0;961.5653773804761;
