-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;1687.245835795944;1674.0792191484209;1643.2983060605707;1622.270054767442;1599.3915480725484;
Cascais;2831.8750946670025;2787.202483696199;2886.830022153185;2601.1764089129174;3256.8262434858325;
Lisboa;2999.925;3126.485816392391;2961.343500579882;2991.111408486705;2885.3115830061006;
Loures;1671.589233164333;1709.7005892086884;1631.0425390254347;1608.953852643089;1600.4578891446113;
Mafra;1620.9491549291738;1592.2416741646853;1574.7744237980182;1564.3128174195413;1594.5886550046077;
Odivelas;2009.6111744722725;1962.8411111473747;1994.2259713021383;1866.4417776288037;1850.6364891227488;
Oeiras;2712.5852923706525;3371.9871866562685;4532.2743626073525;6454.9248648063385;7230.903550659117;
Sintra;1901.9228899326783;2268.04790187243;2762.9371261404403;2845.4991009580444;3023.2907570019806;
VilaFrancaDeXira;1779.158571874535;1425.55634106857;1391.8776896688971;1335.111843958025;1337.6533473478369;
Alcochete;1420.44;1411.4130895076214;1388.7542244455499;1368.0268940514222;0;
Almada;1744.235;1722.5191652353124;1717.470591931397;1675.6744308608017;1658.9595784129654;
Barreiro;1281.2590844091392;1225.4331445;1234.979628728139;1319.3985641619497;1261.239559451301;
Moita;1000.853525084441;978.1196374302326;965.8417211731472;946.2826479218053;927.49846481066;
Montijo;1386.6285524146192;1345.2369979053315;1330.2392992582375;1310.3853114368962;1293.0723376460178;
Palmela;1429.0583534640305;1341.517282224017;1248.8694195415142;1236.4119470815872;1219.0121483142855;
Seixal;1521.5370946663234;1515.9515800542254;2858.3731975082906;1762.0504281865044;2208.924913814133;
Sesimbra;1585.6817307313609;1582.960079534577;1532.1157911544656;1551.9863197339891;1521.229087336048;
Setubal;1394.7081498401772;1300.5995400877819;1309.784839295715;1308.0673197913177;1311.5522571336412;
