-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;1708.7142509252192;1665.8788146885024;1597.3960270914108;1543.0790283066142;1506.2034619390631;
Cascais;2665.08;2730.0793019532803;2597.113266911391;2550.276426351744;2812.69720716557;
Lisboa;2984.85;3040.459750021383;2953.283017859597;2859.920970588435;2716.039069994706;
Loures;1667.0;1667.8028168324963;1590.1954842372832;1537.8485992556728;1505.961571377527;
Mafra;1605.1485511940054;1565.7034009794575;1550.1063895112554;1476.5834389074757;1505.03730194432;
Odivelas;2101.5199138382704;1931.150801281784;1924.2392578764943;1879.3574269504907;1767.8986765279978;
Oeiras;2631.5152015217495;3175.6946004319243;4681.627921280755;5550.463570039993;6698.044770415398;
Sintra;1963.1078316764342;2758.711952505529;3013.9424411727423;3353.2760235452906;3665.046481283132;
VilaFrancaDeXira;1613.6126803493498;1375.9608627142447;1307.6113186124999;1308.8253476877112;1451.7107464025717;
Alcochete;1425.7562226355085;1395.6624;1354.2098310575998;1287.8400748125373;1274.961674064412;
Almada;1735.47;1718.1153;1812.3844821772122;1642.4522849480286;2148.92077333617;
Barreiro;1279.7120347098721;1240.2984505871218;1183.0316220756;1201.6161403632507;1183.7697141557837;
Moita;1015.1349256591334;965.3985;936.0336806444734;906.2770410336001;882.0436400341547;
Montijo;1370.3163826595908;1342.8643957805828;1297.1504280635997;1247.6149207149087;1211.560318917959;
Palmela;1421.0698082982244;1283.347026844117;1213.6607542622871;1187.572421728733;1152.300333230968;
Seixal;1570.4085743201097;1591.318376573523;3762.0481211446577;1681.89865813799;1469.8396096223357;
Sesimbra;1601.8614400515557;1560.9941595464638;1529.9348363909617;1449.6319149462627;1415.009431881388;
Setubal;1463.4209723612971;1306.7430846862521;1254.7901353899852;1229.2347508889957;1215.456525796665;
