-,2021/1,2021/2,2021/3,2021/4,2021/5,2021/6,2021/7,2021/8,2021/9,2021/10,2021/11,2022/1,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,2022/10,2022/11,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2023/10,2023/11,2024/1,2024/2,2024/3,2024/4,2024/5,2024/6,2024/7,2024/8,2024/9,2024/10,2024/11,2025/1,2025/2,2025/3,2025/4,2025/5,2025/6,2025/7,2025/8,2025/9,2025/10,2025/11,2026/1,2026/2,2026/3,2026/4,2026/5,2026/6,2026/7,2026/8,2026/9,2026/10,2026/11,2027/1,2027/2,2027/3,2027/4,2027/5,2027/6,2027/7,2027/8,2027/9,2027/10,2027/11,2028/1,2028/2,2028/3,2028/4,2028/5,2028/6,2028/7,2028/8,2028/9,2028/10,2028/11,2029/1,2029/2,2029/3,2029/4,2029/5,2029/6,2029/7,2029/8,2029/9,2029/10,2029/11,2030/1,2030/2,2030/3,2030/4,2030/5,2030/6,2030/7,2030/8,2030/9,2030/10,2030/11,2031/1,2031/2,2031/3,2031/4,2031/5,2031/6,2031/7,2031/8,2031/9,2031/10,
Births,47,56,55,58,55,50,50,59,51,51,53,56,57,56,48,44,39,50,56,53,55,44,56,50,51,43,51,59,56,54,61,46,51,45,56,56,59,49,47,50,49,41,54,52,58,54,55,53,55,53,50,44,49,59,59,52,41,56,46,42,54,40,51,52,48,45,58,51,51,49,50,49,51,46,50,53,54,48,49,44,42,46,44,47,38,36,41,58,44,52,50,48,47,45,41,47,30,44,37,35,42,39,45,46,49,35,32,45,34,34,33,42,42,41,43,39,44,40,41,37,
Deaths,65,71,59,62,58,67,58,68,60,55,52,60,71,64,57,55,67,63,64,56,66,61,68,62,64,46,61,67,67,67,61,68,62,71,66,60,72,58,56,62,67,61,67,60,53,66,63,62,66,62,72,58,57,62,71,61,59,68,53,55,74,74,68,75,57,73,69,60,67,77,67,63,70,62,78,62,68,58,75,65,63,67,58,71,61,56,71,70,67,68,65,69,59,71,67,72,75,67,74,80,68,73,74,71,73,76,63,69,63,70,71,68,80,83,64,68,69,68,73,58,
Divorces,12,10,15,15,11,15,10,18,19,5,12,9,10,15,11,7,14,7,10,13,14,11,16,14,8,20,11,9,15,15,8,20,11,11,9,9,5,11,11,9,7,17,16,12,17,7,15,8,16,16,16,9,7,17,13,8,12,12,10,7,12,14,8,10,11,8,11,14,13,14,8,11,8,13,15,15,8,19,9,11,13,8,16,17,13,13,14,10,15,17,8,9,11,15,22,11,18,15,9,20,8,16,11,9,13,17,15,14,8,12,12,13,11,7,18,11,11,14,12,11,
Young leaving home,59,76,60,40,40,40,52,52,43,44,40,43,45,50,49,45,52,55,60,40,46,69,49,34,53,42,36,57,59,46,38,52,43,65,43,61,41,37,35,45,48,48,31,45,43,52,42,40,48,59,48,36,41,42,36,43,43,37,50,35,66,49,30,41,43,58,31,35,38,39,58,45,47,51,50,48,41,33,29,57,45,40,31,33,42,48,38,34,52,42,41,37,22,37,52,35,44,46,52,32,29,55,25,33,51,30,46,25,33,39,45,36,34,45,49,41,27,34,52,37,
