-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,745,110,35,13,12,17,14,8,16,10,12,11,
Cascais,545,91,38,25,30,21,15,23,14,8,12,16,
Lisboa,1535,199,71,49,67,70,58,41,48,32,32,21,
Loures,663,103,23,21,7,11,20,19,11,9,5,4,
Mafra,221,26,7,3,2,2,3,4,5,4,2,4,
Odivelas,435,79,29,17,12,19,17,26,14,12,13,9,
Oeiras,524,81,31,16,10,17,5,5,7,8,14,4,
Sintra,1229,159,25,22,26,18,9,9,13,11,13,14,
VilaFrancaDeXira,432,53,9,6,4,6,5,4,5,10,5,5,
Alcochete,51,11,3,2,3,2,1,1,0,3,0,3,
Almada,647,93,29,21,17,12,12,18,13,17,10,9,
Barreiro,334,26,9,8,4,8,9,1,3,11,1,4,
Moita,256,30,10,1,4,1,3,4,2,2,4,1,
Montijo,172,40,7,1,2,3,6,2,0,0,4,4,
Palmela,166,16,5,6,4,0,3,1,4,2,3,2,
Seixal,399,50,23,12,12,16,0,9,5,4,6,7,
Sesimbra,96,13,1,3,3,2,3,0,1,1,4,1,
Setubal,403,44,8,9,9,5,2,5,0,9,7,5,
