-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,1689,1922,1934,1993,2020,2102,2060,2353,2384,2518,2430,2423,
Cascais,2400,2876,3070,3215,3048,3261,3266,3416,3639,3647,3549,3677,
Lisboa,2966,3759,3894,4004,4061,4258,4056,4003,4415,4462,4524,5176,
Loures,1705,1751,2006,1937,1969,2186,2188,2260,2251,2350,2656,2545,
Mafra,1558,1764,1860,1942,1590,2079,1991,2245,2320,2015,2160,2508,
Odivelas,1952,2182,2304,2298,2348,2417,2521,2577,2532,2585,2708,2939,
Oeiras,2367,2727,2724,2571,2793,2829,3041,2872,2671,2803,3026,2710,
Sintra,1401,1546,1528,1708,1724,1794,1869,1972,2075,2095,2234,2431,
VilaFrancaDeXira,1408,1520,1495,1561,1520,1513,1676,1298,1474,1778,1723,1870,
Alcochete,1660,1734,2118,2333,1988,2460,2252,2477,2194,2387,2301,2253,
Almada,1796,1932,2005,2114,2175,2232,2245,2448,2397,2558,2459,2577,
Barreiro,1134,1286,1256,1346,1579,1443,1388,1430,1676,1565,1260,1272,
Moita,1065,1106,979,1134,1095,1107,1213,1041,1397,1417,1145,1209,
Montijo,1319,1292,1537,1660,1624,1610,1912,1664,1821,2139,1849,1560,
Palmela,1123,1287,1196,1338,1499,1437,1767,1938,1865,1421,1780,1741,
Seixal,1417,1622,1723,1725,1827,1867,2207,2069,2151,2360,2436,2353,
Sesimbra,1441,1678,1614,1660,1693,1661,1866,2084,1881,2207,2154,1801,
Setubal,1370,1403,1528,1588,1652,1545,1663,1606,1703,1753,1683,2066,
