-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;
Amadora;0;0;0;1571.4621765711847;1594.7105494504303;1598.9678838413042;1650.652222826862;1567.5716702053974;
Cascais;0;0;2612.0449080000003;2547.2648882591457;2509.246639793726;0;2224.0459353653996;1512.0;
Lisboa;0;2896.19697015;2810.1770239395746;2754.254501163177;2690.4466871347295;2567.1451798510507;2541.4737280525387;1732.880997731548;
Loures;1653.6611851462164;1609.400990835;1577.3739111173832;1536.6866740160742;1486.159596199202;1445.3783231527118;1405.186303371006;1609.7887407769238;
Mafra;0;1545.686307;1486.757088147395;1442.7996859604975;1422.2871622199536;1383.9120797409819;1342.8085070605948;1289.8964940764645;
Odivelas;0;1900.4139;1807.2747095916536;1771.3099428707797;1720.8905481393924;1667.6531496494583;1639.7612605879488;1609.0416395327475;
Oeiras;2460.1499999999996;0;2327.8802804051775;2293.020565653381;2224.9155618329096;2198.67473238168;2202.6629423961303;1996.949381149651;
Sintra;1657.7717694676517;1687.665874302836;1576.7968846265235;1444.1097686606656;1399.8623788376824;1378.338966234931;1440.2611890891333;1330.9277541924112;
VilaFrancaDeXira;1584.0862576975437;1424.0925364303669;1394.3140584096927;1268.7739548383902;1300.7991737185268;1488.5445950987244;1245.1500781775258;1542.4036506848267;
Alcochete;0;0;0;0;1262.2120573237676;0;0;1164.6994791384561;
Almada;0;1753.0;1718.1153;1593.3887561646284;1538.294353317191;1512.6426471348404;1462.9026238220035;1575.2198125898292;
Barreiro;1244.0;0;0;1159.4892927962953;1113.800788297843;1080.719791084609;1032.0230519241463;1021.6567341852677;
Moita;1029.1849099131034;963.1871821322499;932.3069976974505;904.0962053031931;881.9081804448357;861.3266372296773;822.793702111828;807.927773502361;
Montijo;1466.085961474661;1316.87039682;1297.1504280636;1246.0375255676863;1221.2413788088893;1173.1195957307175;1138.7358077881424;1119.754402121556;
Palmela;1311.6028373658858;1269.355813841525;1223.9241942213002;1177.3049762053547;1140.7773298986585;1134.223951714111;1127.4796387508954;1096.2918865659074;
Seixal;1513.8612098842345;1450.548;1407.4652738519999;1418.9363388884747;1423.8239952827353;1423.9146369256032;1414.183755258958;1440.3946305725167;
Sesimbra;1693.5948016837187;1721.7296153727234;1698.8081243512192;1692.8535453267455;1669.0465621516996;1718.9631579411598;1736.5556613426243;1680.6563345874906;
Setubal;1367.3267869653912;1277.2967880858691;1265.3921440311324;1199.5681027562962;1204.5816205445346;1225.5873412742603;1183.2772487962209;1101.4856544070187;
