-,2021Q1,2021Q2,2021Q3,2021Q4,
Amadora,9.807271702503641,9.725345420244881,8.93766461231194,7.9987396417694665,
Cascais,11.477011394415173,11.573308266416138,10.923539953703017,11.134907175150762,
Lisboa,11.909170665862854,12.557827602793425,11.794654890868413,11.623710252815219,
Loures,8.457812390400768,8.272901574972508,7.5774091702466615,6.61532102321503,
Mafra,7.42695014141908,7.699213866481554,6.61382376410052,7.279321508886332,
Odivelas,8.577222715968844,8.455173507333338,7.623868656707988,6.657470419132843,
Oeiras,10.884899869003062,10.794941161881592,9.990634324352904,9.857558887235982,
Sintra,7.903747579595946,8.023003229048266,6.736024675219807,6.039264127483634,
VilaFrancaDeXira,7.448593815792781,7.272729290098849,6.395739213957525,6.094720286431728,
Alcochete,6.626693861255941,5.489881042039459,6.189599828814311,5.839781488488596,
Almada,9.007687446331213,9.08737103703574,8.348095186561219,7.415585461684154,
Barreiro,7.459607724071445,7.290728956118179,6.527026818879215,6.2032017123624215,
Moita,6.572081163674061,6.251196141354622,5.883335498879029,5.441719190631626,
Montijo,6.403464806611866,6.5912185113627935,5.323971323313549,5.384067885345045,
Palmela,7.097371274268735,7.484829996381645,5.738715202616226,5.992879455508701,
Seixal,7.114464092633238,7.096880672055109,6.56894971383137,5.750352411212632,
Sesimbra,6.316314583414796,6.177397604629447,5.445780979795333,6.205556757582944,
Setubal,7.146411779705541,6.874601122171947,6.4442572915902,5.9308394304882315,
