-,2021Q1,2021Q2,2021Q3,2021Q4,
Amadora,1729,1878,1860,2007,
Cascais,2725,2811,2790,2763,
Lisboa,3406,3570,3480,3545,
Loures,1913,2014,1932,1868,
Mafra,1717,1718,1788,2057,
Odivelas,2003,1965,1935,2052,
Oeiras,2467,2575,2500,2497,
Sintra,1440,1532,1511,1569,
VilaFrancaDeXira,1466,1576,1506,1635,
Alcochete,1764,2075,1888,2011,
Almada,1818,1965,2010,2063,
Barreiro,1194,1276,1310,1270,
Moita,1073,1115,1127,1270,
Montijo,1420,1437,1581,1745,
Palmela,1238,1410,1437,1593,
Seixal,1436,1562,1703,2023,
Sesimbra,1446,1376,1477,1565,
Setubal,1383,1470,1429,1552,
