-,2021Q1,
Amadora,8,
Cascais,2,
Lisboa,12,
Loures,7,
Mafra,3,
Odivelas,2,
Oeiras,3,
Sintra,17,
VilaFrancaDeXira,4,
Alcochete,3,
Almada,4,
Barreiro,9,
Moita,8,
Montijo,7,
Palmela,2,
Seixal,6,
Sesimbra,1,
Setubal,4,
