-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,1672,1783,1983,2052,2128,2266,2212,2314,2293,2438,2497,2542,
Cascais,2517,2736,2824,3250,3229,3313,3123,3383,3477,3265,3439,3775,
Lisboa,3020,3513,3787,3969,4244,4183,4102,4605,4831,5187,5692,5801,
Loures,1743,1848,1932,2039,2081,2121,2214,2195,2241,2390,2485,2499,
Mafra,1491,1771,1718,1963,1851,1973,1907,2259,2404,2290,2160,2180,
Odivelas,1971,2206,2204,2310,2406,2328,2408,2622,2532,2600,2440,2884,
Oeiras,2328,2515,2552,2509,2472,2539,2831,2824,2668,2683,3042,3110,
Sintra,1360,1388,1552,1577,1642,1832,1820,1992,1942,2221,2280,2202,
VilaFrancaDeXira,1419,1517,1526,1340,1603,1599,1592,1720,1694,1849,1883,1787,
Alcochete,1629,2137,2164,2328,2406,2441,2394,2371,2585,2571,2265,2304,
Almada,1731,1915,1967,2020,2071,2144,2177,2337,2374,2383,2194,2493,
Barreiro,1300,1301,1293,1361,1307,1218,1360,1622,1419,1587,1324,1479,
Moita,1027,1051,1155,1152,973,1330,1561,1542,1229,1124,1722,1245,
Montijo,1339,1545,1306,1511,1833,1941,1755,1753,1860,2274,2091,1901,
Palmela,1154,1074,1430,1468,1285,1501,1473,1829,1715,1962,2106,1984,
Seixal,1411,1609,1755,1756,1876,2053,1886,2218,2140,2312,2254,2559,
Sesimbra,1463,1842,1644,1597,1710,1997,1857,2033,1954,1802,1929,1256,
Setubal,1298,1597,1749,1643,1685,1764,1798,1776,1805,2003,1982,2043,
