-,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,
Amadora,9.170161668904758,10.907399839859078,11.975839671527442,11.807994916483034,9.178145429908671,11.818677058715512,
Cascais,10.698631009886983,13.760462731863953,13.961832986886535,14.402048310923275,14.75912326304164,14.680288504715035,
Lisboa,11.98548467979764,15.203483401190447,16.741177917777893,16.20490640512062,16.404734856870228,13.694201018057706,
Loures,7.772501966972428,8.056596184623208,8.298024741033641,10.245644916908304,8.79857398291233,11.74328998377108,
Mafra,7.2959662918842305,8.420922975248063,8.278206472404774,9.690608595012552,9.623087684971306,6.978774749391488,
Odivelas,8.485386721779806,9.119335495742606,9.243975669298923,10.725083906189003,10.4226021456392,9.588892056673068,
Oeiras,10.646892996181402,11.835658600853087,13.892736741448267,12.793654655608718,12.573119737439761,13.177835799161437,
Sintra,7.696721650836712,8.647670486628794,8.064989658568699,9.262369911414178,8.71040134478842,9.866204889934235,
VilaFrancaDeXira,7.310980270386992,9.127242297505068,7.181445846331847,7.76945210682162,7.699747022552499,9.421712788796576,
Alcochete,6.969550088869742,9.078565960395458,6.8412703033362705,8.65958655849057,0,0,
Almada,8.769359259651539,9.546907919778949,10.851272121781072,11.091738045533152,9.254257199599397,11.265716036151904,
Barreiro,7.062250406516343,7.379546722801332,8.957908195260867,8.319951643441456,9.025737431940133,9.249423923843885,
Moita,5.909624421189454,5.978294179269261,6.868037319730627,7.865390297831767,7.101440058096987,0,
Montijo,6.595336875194315,6.940271099884041,8.468636945918714,6.9267677000445635,8.81070073063295,10.532914062724588,
Palmela,5.923452810795466,6.480963156935835,6.76535361760242,7.1715571911214555,0,9.143441221575845,
Seixal,7.25952523488742,8.34623401762998,7.681307808209946,7.90196619585012,9.210476782721752,10.065077528443162,
Sesimbra,6.71127614680719,8.257757608475215,6.020552877946146,6.547965095357126,8.14049736938962,0,
Setubal,6.782041400594086,6.9432409470719545,7.059157085184132,11.044702536016988,7.999287958698278,8.870336280487805,
