-,2021Q1,
Amadora,1914.1682044978672,
Cascais,2730.488077572389,
Lisboa,3309.4517296576396,
Loures,1990.2673570246966,
Mafra,1588.3631312129467,
Odivelas,2057.6464040511955,
Oeiras,2592.788766219809,
Sintra,1481.0344332839663,
VilaFrancaDeXira,1532.1899318796936,
Alcochete,1617.4660746390246,
Almada,1876.786157217029,
Barreiro,1255.621541506382,
Moita,1012.2830660821617,
Montijo,1377.1967587078234,
Palmela,1254.156051489579,
Seixal,1473.2104574500224,
Sesimbra,1584.8229230942773,
Setubal,1338.6414017190473,
