-,2021Q1,
Amadora,1007,
Cascais,751,
Lisboa,1900,
Loures,927,
Mafra,273,
Odivelas,597,
Oeiras,646,
Sintra,1446,
VilaFrancaDeXira,491,
Alcochete,55,
Almada,834,
Barreiro,414,
Moita,303,
Montijo,194,
Palmela,200,
Seixal,473,
Sesimbra,131,
Setubal,486,
