-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;0;0;0;0;0;
Cascais;2097.1053306515514;0;0;3723.9660511027932;0;
Lisboa;2181.030277368053;2308.6218116592654;2667.268070651484;0;0;
Loures;1988.0445588182038;2107.469219607609;0;0;1915.983061558946;
Mafra;1811.0772018338125;1280.713370611888;1636.81225321773;1637.233181532367;1338.7421076062933;
Odivelas;1993.0563889227587;1675.2233432799344;1327.5566983945184;1855.4681109126634;0;
Oeiras;2315.599417522004;2143.6287474888572;2655.5372704683546;0;0;
Sintra;1425.5281703588043;1255.7754888380612;1147.1240931220507;1142.7259847662754;1335.7916762348555;
VilaFrancaDeXira;1395.9463356532613;940.9126121083476;1339.1414481748075;956.9631150785584;945.097786075507;
Alcochete;0;0;0;0;0;
Almada;947.9820012111315;0;0;1204.9665497773035;0;
Barreiro;1133.9997762958128;0;0;0;0;
Moita;770.9649940292178;678.1725648358849;1091.5381849996195;0;0;
Montijo;1297.2583221362213;0;873.2170098930739;1052.4734548002632;0;
Palmela;1265.7933217230443;1180.793782530351;0;0;0;
Seixal;1570.831611354599;1549.3702428950726;1491.1830207890196;1304.2798043688556;1104.5744247712082;
Sesimbra;0;0;0;0;1933.8542541707989;
Setubal;989.8770097327968;1010.4999124575893;934.3499392511711;844.5707520566871;0;
