-,2021Q1,2021Q2,2021Q3,2021Q4,
Amadora,313,229,127,97,
Cascais,246,106,56,67,
Lisboa,766,442,194,169,
Loures,298,207,112,73,
Mafra,112,52,25,17,
Odivelas,223,126,71,40,
Oeiras,265,159,85,65,
Sintra,730,435,192,132,
VilaFrancaDeXira,240,141,63,54,
Alcochete,20,15,4,6,
Almada,348,242,96,80,
Barreiro,206,83,46,41,
Moita,141,75,44,35,
Montijo,96,65,32,19,
Palmela,102,37,24,21,
Seixal,288,141,68,57,
Sesimbra,50,29,11,8,
Setubal,243,122,71,50,
