-,2021S1,2021S2,
Amadora,10.10569084776979,9.987277295894238,
Cascais,11.580768249261473,11.951277554570611,
Lisboa,12.941474930344363,16.6287115905716,
Loures,8.767586395846775,8.311147534858026,
Mafra,7.142500501733235,7.412995750889071,
Odivelas,8.922868043329801,8.49391079764462,
Oeiras,11.335897541259502,11.439943892274545,
Sintra,8.118611052611056,7.78997199610404,
VilaFrancaDeXira,7.618941424818188,6.9902267684726676,
Alcochete,5.817685736357927,4.009540047219009,
Almada,9.499060469881371,9.323911808429045,
Barreiro,7.62357487367375,7.419017599863979,
Moita,6.94560487703298,6.307055670666149,
Montijo,6.71854453038605,6.255955403649295,
Palmela,6.650477641191681,7.8097877383068885,
Seixal,7.472556709106768,7.018930912147896,
Sesimbra,6.715148259636233,6.335379027799912,
Setubal,7.6345129552734186,6.917987106363648,
