-,2021Q1,2021Q2,2021Q3,2021Q4,
Amadora,1722,1791,1724,1785,
Cascais,2711,2732,2760,2703,
Lisboa,3322,3521,3576,3575,
Loures,1894,2027,1900,1893,
Mafra,1641,1607,1647,1890,
Odivelas,1940,1965,1863,1947,
Oeiras,2420,2422,2325,2275,
Sintra,1428,1465,1394,1468,
VilaFrancaDeXira,1432,1469,1425,1439,
Alcochete,1540,1733,2039,2049,
Almada,1736,1853,1758,1769,
Barreiro,1108,1163,1171,1250,
Moita,958,995,1034,1204,
Montijo,1314,1336,1280,1381,
Palmela,1179,1145,1286,1421,
Seixal,1347,1434,1588,1764,
Sesimbra,1369,1393,1478,1483,
Setubal,1304,1369,1416,1449,
