-,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,
Amadora,8.284530211289844,8.181826731396557,7.605915186960699,7.848426585659066,7.352607607197851,7.610134234964672,
Cascais,11.007305516055254,10.779508778095465,10.259501488164554,10.415555092447478,9.485166440480324,11.210378598156446,
Lisboa,10.96032501889456,10.88951964703417,11.274130028546722,9.924406905160964,10.941688555253572,12.718424171307749,
Loures,7.406447603660627,7.320232566128578,6.972553675915572,6.714183932625349,6.902042505461173,5.567305981385214,
Mafra,6.35376826767684,6.701528745371011,5.115270346893695,5.645814599864047,8.647960004473846,6.9829369499907035,
Odivelas,8.29047608802826,7.8968317554542455,8.779015802328514,8.7226500065865,6.887288396048143,6.960899124008035,
Oeiras,9.742283736943229,9.432595682245633,8.858904490599208,9.556625820114181,8.826078490064575,9.120937624756117,
Sintra,6.844943040088647,6.942731242205648,7.764880509843659,6.471343906951566,6.764906208421747,6.92633531850691,
VilaFrancaDeXira,6.633692924840485,6.219958854811383,6.7901509939934765,6.532086131940451,8.346007305969474,6.432503077716306,
Alcochete,6.781626104695155,5.683946886054131,6.9688055234935895,5.021931925589686,0,0,
Almada,8.583589001895948,8.523244900392786,7.578982193039566,7.567040186372235,8.027695234191544,7.661136932809668,
Barreiro,6.914553943996554,6.593828043562377,7.27533123650338,5.329903208855031,8.308807032861406,7.869990978288542,
Moita,5.815995648795484,6.075022763936287,6.518239683439206,4.912074621735348,4.511083347103019,5.62113393971466,
Montijo,6.41644856223221,6.470076411540614,6.239141182919656,5.867201881332536,6.440724121701294,7.434778722063834,
Palmela,5.987505419288565,5.6205411726390055,4.570107611493709,6.054865504429099,7.758899107786189,4.53360741368177,
Seixal,6.473370485401058,6.391375224442583,7.277646048936209,7.118342864025205,6.62870497639509,9.852673554501962,
Sesimbra,5.534234223176348,5.974998013536998,6.557423516169727,5.335901425573217,9.713468404433613,6.981678307427046,
Setubal,6.290990939462231,6.74084064986353,5.599544043715757,7.505609394661962,7.524846417090554,8.280980829512254,
