-,2021Q1,
Amadora,12.167818121992921,
Cascais,14.479350923710813,
Lisboa,15.966834701372134,
Loures,10.900838145549912,
Mafra,9.78561086628492,
Odivelas,11.412499891065561,
Oeiras,13.628763389205366,
Sintra,10.106746237874052,
VilaFrancaDeXira,9.561962393345826,
Alcochete,8.471034597650826,
Almada,11.623198779433714,
Barreiro,9.800853845033606,
Moita,8.519757901468507,
Montijo,8.795934241206904,
Palmela,8.216395510206493,
Seixal,9.297216951841792,
Sesimbra,8.397517032009521,
Setubal,9.29189281115917,
