-,2021Q1,
Amadora,2237,
Cascais,1527,
Lisboa,5155,
Loures,2008,
Mafra,575,
Odivelas,1231,
Oeiras,1467,
Sintra,3628,
VilaFrancaDeXira,1100,
Alcochete,123,
Almada,1952,
Barreiro,930,
Moita,657,
Montijo,548,
Palmela,419,
Seixal,1083,
Sesimbra,264,
Setubal,1151,
