-,2021Q1,
Amadora,2219,
Cascais,3116,
Lisboa,3779,
Loures,2298,
Mafra,2057,
Odivelas,2428,
Oeiras,3022,
Sintra,1833,
VilaFrancaDeXira,1911,
Alcochete,2187,
Almada,2299,
Barreiro,1510,
Moita,1359,
Montijo,1697,
Palmela,1563,
Seixal,1804,
Sesimbra,1880,
Setubal,1797,
