-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;0;0;1137.664;1137.664;0;
Cascais;0;2313.04;2313.04;2313.0400000000004;0;
Lisboa;2038.5839999999998;2124.3801170563743;2110.611569146019;2142.2582103929803;2110.611569146019;
Loures;0;1200.968;1200.968;0;1369.3280000000002;
Mafra;1351.68;2118.94;1351.68;1351.68;1611.5;
Odivelas;0;2138.4;2138.4;3006.08;2179.1000000000004;
Oeiras;0;1675.8;2155.2;2791.56;1716.0942039550505;
Sintra;1941.42;1944.7662705761743;1941.42;1692.52;1692.52;
VilaFrancaDeXira;1527.1155438344922;1425.6242924779533;1458.6147293256204;0;1365.8131415232674;
Alcochete;0;0;0;0;0;
Almada;0;1213.848;1213.848;0;0;
Barreiro;0;0;0;0;1367.82;
Moita;1047.2;1190.0;1130.1209049071988;0;0;
Montijo;0;0;0;1494.8;1309.12;
Palmela;845.728;0;0;845.728;0;
Seixal;1348.44;1835.4225448244151;1296.2112941176472;1298.4823764705884;1297.9192470588234;
Sesimbra;0;1385.72;1870.96;0;0;
Setubal;1276.7964819322408;0;1257.8391699264505;1257.839169926451;1257.8391699264505;
