-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;2323.8810492864263;2509.572716611675;2461.7946784546734;2687.3998705722815;2669.160044909075;
Cascais;2739.354687047324;2895.482469263049;3269.009051557099;3561.5947105835203;3909.700435084788;
Lisboa;3184.1510423628756;3124.9542300633266;2868.681614523869;2787.1663557610113;2734.4221031657835;
Loures;2156.6107359721423;1738.32510587477;1612.2468284633878;1561.7498622753872;1516.3133087753495;
Mafra;2293.156218114993;2891.765330289979;3044.6075487820835;3128.7530021915964;2978.8569024800395;
Odivelas;2488.274023249813;2269.7981400829667;2435.268045032424;2544.0702216840828;2564.827066168593;
Oeiras;2744.9594260157533;4397.078851586748;6194.996075553893;7625.134929824422;7473.339294665201;
Sintra;4083.176098655584;4740.12406153678;5900.852300840989;5271.469939493481;5439.083139495792;
VilaFrancaDeXira;1873.7348276306393;2259.562060217799;2229.118250069112;1771.4979520672432;2063.152723129424;
Alcochete;1764.8949267886662;1762.476515522311;0;0;0;
Almada;1954.6311821996906;1975.499341163784;1667.0855574747002;2605.6480230226016;2993.5097006770725;
Barreiro;1788.8473865493302;2040.6070526607587;2202.6971757408123;2382.6075223742782;2498.6418234442954;
Moita;1768.6326130932675;999.29362689152;927.357947159985;1091.951638110556;896.7350757248655;
Montijo;1798.025170710107;1452.3916652668727;1424.9659212341148;1551.7477377912253;1573.840840492357;
Palmela;1737.298326624943;1979.8529120497649;1915.6444015188995;1821.3133711500554;1712.1529740986696;
Seixal;2726.5860996290703;2095.2360763773663;4075.7831486367245;5897.954920672086;5396.612803991177;
Sesimbra;2357.4433380512937;1690.6793641017755;1494.0053683929002;1813.0060622204107;1406.5763974404438;
Setubal;2315.5107941811616;2397.185809912234;2157.370563335059;2271.1732642558636;2038.323219396189;
