-,2021Q1,2021Q2,2021Q3,2021Q4,
Amadora,381,270,134,84,
Cascais,287,124,75,57,
Lisboa,839,446,143,135,
Loures,337,192,93,76,
Mafra,165,69,27,25,
Odivelas,231,156,76,32,
Oeiras,298,168,86,60,
Sintra,866,476,187,100,
VilaFrancaDeXira,285,157,58,37,
Alcochete,26,11,10,4,
Almada,416,247,99,77,
Barreiro,217,85,61,35,
Moita,171,49,38,24,
Montijo,141,78,19,14,
Palmela,152,51,21,14,
Seixal,340,148,40,45,
Sesimbra,73,33,16,6,
Setubal,266,148,70,42,
