-,2021Q1,2021Q2,2021Q3,2021Q4,
Amadora,1774,1901,1885,2046,
Cascais,2777,2767,2808,2835,
Lisboa,3450,3619,3690,3690,
Loures,1984,2113,2056,1968,
Mafra,1667,1732,1794,2094,
Odivelas,2061,2035,1989,2010,
Oeiras,2547,2566,2489,2406,
Sintra,1497,1629,1570,1600,
VilaFrancaDeXira,1547,1628,1645,1737,
Alcochete,1781,2056,2054,2482,
Almada,1857,2024,1989,2058,
Barreiro,1213,1272,1311,1303,
Moita,1056,1138,1256,1305,
Montijo,1412,1489,1773,1854,
Palmela,1274,1414,1478,1702,
Seixal,1467,1695,1800,2014,
Sesimbra,1511,1545,1604,1728,
Setubal,1425,1515,1484,1618,
