-,2021Q1,2021Q2,2021Q3,2021Q4,
Amadora,9.682007010308805,9.575744060839195,8.914940511444378,8.1797852603349,
Cascais,11.634385443724211,11.383784354937466,11.45728205530782,11.28969033115826,
Lisboa,12.149765964813241,13.3050100648766,12.997408251123924,13.319492577635923,
Loures,8.344620582597342,8.454409431138242,7.470265367135423,6.584931145700534,
Mafra,8.016940565812073,7.83044940452903,6.400128206610075,6.90628651065563,
Odivelas,8.889266248956117,8.72168522806589,8.34650832039194,6.7639940330320325,
Oeiras,10.943058272477138,11.131155698712522,10.206830831964933,10.16508171662511,
Sintra,7.962118315182611,8.176290262083374,7.0261950823668196,6.17569348352554,
VilaFrancaDeXira,7.346198883519611,7.435558451891907,6.38023176389566,6.129820788148044,
Alcochete,6.729133527293291,5.645356705187095,5.246708335224146,5.9876787952831645,
Almada,9.195621780544165,9.434475737983801,8.207915132439151,7.914732193732194,
Barreiro,7.494180512738858,7.278993764087037,7.266840346587252,6.074173977134512,
Moita,6.419991887361526,6.256652830069499,5.835437454673171,5.448989180266686,
Montijo,7.365890675247049,7.2797105198550796,6.68927670668925,6.444463988801134,
Palmela,7.021112955506858,6.7608712080396245,6.030046240666468,6.003579939076851,
Seixal,7.327265566372969,7.408180870145444,6.553042883594332,5.7258366320304495,
Sesimbra,6.077543267740495,5.929884937846902,5.733413867802432,5.648030107098377,
Setubal,7.096058676770383,7.309483025958608,6.189986961986922,5.885311487678859,
