-,2021,
Amadora,2588,
Cascais,1617,
Lisboa,4655,
Loures,2079,
Mafra,852,
Odivelas,1474,
Oeiras,1823,
Sintra,4852,
VilaFrancaDeXira,1599,
Alcochete,152,
Almada,2499,
Barreiro,1185,
Moita,840,
Montijo,751,
Palmela,709,
Seixal,1707,
Sesimbra,381,
Setubal,1567,
