-,2021Q1,
Amadora,1797,
Cascais,3316,
Lisboa,3622,
Loures,2376,
Mafra,2205,
Odivelas,3039,
Oeiras,3369,
Sintra,1917,
VilaFrancaDeXira,1547,
Alcochete,2022,
Almada,2706,
Barreiro,1420,
Moita,1039,
Montijo,1552,
Palmela,1354,
Seixal,1668,
Sesimbra,1287,
Setubal,1724,
