-,2021Q1,
Amadora,10.48409136685967,
Cascais,15.114907177948563,
Lisboa,14.096826159958784,
Loures,9.898485940857874,
Mafra,10.927907304067274,
Odivelas,11.602316115036958,
Oeiras,12.134232697012463,
Sintra,8.553887766561829,
VilaFrancaDeXira,8.925055326944335,
Alcochete,6.944988230744369,
Almada,10.611637002288905,
Barreiro,9.772772576818728,
Moita,8.162458544527016,
Montijo,7.06876395848539,
Palmela,9.504996014253463,
Seixal,7.819671918141961,
Sesimbra,6.7319899857916345,
Setubal,7.851673757611001,
