Year,Birth Rate,Mortality Rate,Divorces,
2021,12.932484480547126,12.26428455087066,0.7680491551459293,
2022,2.656326140799809,11.206646074361093,1.9309122816564184,
2023,8.606709714783976,14.493743032433972,1.7735655435588351,
2024,5.670857979689704,7.142374160889323,0.49115913555992136,
2025,10.637812822063298,13.89673966105353,1.3796432544984698,
2026,13.212942469585627,10.611543640957239,1.697689483657336,
2027,10.084369942686804,9.72224110850662,3.109246515992958,
2028,9.601686215099777,8.628863768193455,2.861074750879715,
2029,13.64592491088662,9.987685605852654,1.985052940480043,
2030,11.778414005601674,10.463424484462061,2.1974031193972285,
