-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4,2030Q1,2030Q2,2030Q3,2030Q4,
Amadora,1273.7390514596905,1398.9652624900637,1602.1254091245382,1614.6752279039406,1542.7648411311645,1681.6134394380074,1696.5863233618484,1711.1336271475047,1761.6076104812057,1824.253462164124,1871.9399671539466,1833.517300563612,1809.074312923225,1585.3661152259285,2205.186944176786,1868.7200128020374,0,2219.9932312349015,0,0,0,0,0,0,0,1927.0086806207964,1749.5738173517163,1946.6623392811298,2285.423965679718,1873.9364025103976,971.0579379162027,1852.8971851605409,0,2337.682085591032,1866.7952864555152,2090.860638675082,2310.8182994522313,2044.264654779683,2206.5093107568205,1981.0706907601975,
Cascais,2059.885363194619,2328.2967035739553,1961.4813896320352,2271.2551615289276,2130.170110082763,1923.7336880581254,2026.561052456795,1818.1411971209,1719.4070433080342,2064.3244047330154,2215.380917557396,2175.5877690303146,2179.077605584418,2628.160273756158,2730.265653781216,0,0,0,0,0,0,0,0,0,0,0,3131.1624932421582,1380.0349603746815,2342.6966336946944,0,0,0,1328.6163446255864,2689.6330529417573,2465.102918699502,2627.0536249813663,3152.156395159451,3665.3999999999996,2683.068676052026,2569.8869560116846,
Lisboa,2268.438460701055,0,2277.5032792327484,2063.8292958544744,0,2275.658108171218,2625.3513351595907,1961.6940020860206,2164.504183007977,2254.85804756125,3361.0656056188827,1710.1239593689475,2673.515225704259,1541.1585867470394,1635.1549073831961,1456.3402289632072,1715.1934092621711,1680.67894873254,1414.5320552960166,2966.3434090987234,1789.157179001662,1448.3039987935572,1972.9402241737548,1642.8168169533556,1939.3160416968715,2856.5533856338498,2007.7710185207227,1309.41254985888,1161.216397797445,1379.9173167242539,919.683204762249,1212.3950040777518,942.8557393241807,1270.3954588592014,1609.5471739552654,1766.2898831057335,1198.426698047532,1730.6755905714026,1704.850115666331,1377.2051053993512,
Loures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2416.705791427089,0,0,3477.63885004777,0,3141.3343477545113,0,3063.6238715270083,0,
Mafra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3549.604779715481,0,3059.8173606626815,3929.555403971259,0,0,0,3350.5042561488162,3521.679863302866,
Odivelas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3567.6719795571958,0,0,4653.207392266884,2703.118679795472,0,0,0,
Oeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3005.3898981107936,0,0,0,0,0,
Sintra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2626.6254856644828,0,0,0,0,2833.5989622177785,0,0,0,3336.798695823723,2565.1257352261864,0,0,0,0,
VilaFrancaDeXira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2692.85775394617,0,2764.1243253930975,0,0,2089.653926355979,3326.1887429301246,2436.8759963597004,
Alcochete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3558.3796164638534,0,0,0,3512.862278979541,0,0,0,0,3074.864790973284,3208.7163012399783,0,0,
Almada,0,0,0,0,0,0,0,0,0,0,3612.467814436925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2748.7056619549558,0,0,3102.9113061721937,0,2841.9408626040754,
Barreiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2724.2039999999997,0,0,0,2517.4,0,0,0,2894.6,0,2514.3959412470176,2399.7279961610516,2218.298222253374,0,
Moita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2492.226,2796.2000000000003,0,0,3419.4000000000005,0,0,3385.206000000001,0,0,0,2376.1694901277347,3608.9430000000007,1679.3639827235597,0,2796.2,
Montijo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3269.276169070228,2360.1044971260762,0,0,0,0,3440.8494748426006,3418.7020466888325,0,0,3069.748978484441,3408.070007487045,3537.057040681979,
Palmela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3899.9276206893087,2898.1259999999997,0,0,0,0,3391.1798958564514,3136.5287038715537,3445.3116007922463,2897.507938569868,3174.3815219212916,
Seixal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3083.967899651504,2584.206501866586,2510.7456943209954,0,2817.8016528585335,0,0,2896.0442712921813,
Sesimbra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3107.8000000000006,0,2384.85301732514,0,0,0,4058.2928711964128,2773.794872550133,0,0,2439.855160777827,0,3398.9156149841488,
Setubal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
