-,2021,2022,2023,
Amadora,15059,1271,635,
Cascais,10341,1636,1033,
Lisboa,29673,4003,2605,
Loures,13963,905,874,
Mafra,3622,222,159,
Odivelas,8451,937,445,
Oeiras,9594,731,731,
Sintra,23049,1287,858,
VilaFrancaDeXira,8324,334,397,
Alcochete,953,191,32,
Almada,12962,874,810,
Barreiro,6417,318,397,
Moita,4988,349,175,
Montijo,3399,238,159,
Palmela,2780,334,64,
Seixal,7688,524,254,
Sesimbra,1890,111,32,
Setubal,7736,651,477,
