-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,1726,1946,1853,1907,1900,2280,2193,2336,2364,2248,2079,2259,
Cascais,2220,2573,2641,2706,2985,2935,2916,2910,2896,2715,2916,2908,
Lisboa,2911,3507,4080,3661,3731,3681,3682,3736,3854,3985,4057,4052,
Loures,1756,1973,2053,2167,2334,2478,2484,2505,2138,2346,2490,2526,
Mafra,1340,1612,1789,2019,1910,2445,2567,2803,2618,2482,2105,2195,
Odivelas,1851,2010,2105,2127,2363,2406,2449,2789,2193,2172,2448,2601,
Oeiras,2230,2402,2687,2626,2517,2956,2781,3014,2961,2826,3135,2710,
Sintra,1417,1563,1753,1621,1724,1906,1999,2088,2137,2112,2268,2059,
VilaFrancaDeXira,1326,1472,1444,1515,1602,1727,1944,1724,1735,1964,1874,1753,
Alcochete,1254,1481,1823,2422,2516,1156,0,2559,1550,3188,0,2486,
Almada,1845,1854,1957,2179,2177,2348,2187,2299,2065,2483,2212,2354,
Barreiro,1229,1263,1292,1504,1546,1331,1347,1181,1871,1344,1536,1788,
Moita,1019,1084,1185,1283,1281,1147,1438,1137,1277,2450,1654,1374,
Montijo,1340,1460,1679,1722,1819,1953,1709,2757,2072,2923,1847,1683,
Palmela,1138,1396,1325,1500,1405,1943,1569,1685,2039,2392,2141,1589,
Seixal,1399,1501,1755,1953,2033,2205,2255,2202,2175,2537,2712,2465,
Sesimbra,1343,1466,1537,1427,2065,1746,1321,3288,1947,1993,2242,2030,
Setubal,1353,1420,1665,1687,1764,1909,1706,1788,1939,1922,1715,1785,
