-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,577,105,32,27,11,12,13,7,12,5,9,11,
Cascais,398,80,26,14,15,11,15,18,12,18,6,17,
Lisboa,1089,206,63,62,54,46,36,29,24,34,31,37,
Loures,500,112,23,10,23,10,9,7,8,10,7,7,
Mafra,148,30,6,3,4,1,1,3,5,1,3,2,
Odivelas,326,66,38,17,20,10,18,15,8,11,6,7,
Oeiras,370,67,19,12,12,8,9,7,6,10,5,4,
Sintra,912,137,22,20,19,23,28,6,7,21,8,20,
VilaFrancaDeXira,312,52,17,12,4,4,8,5,10,8,5,2,
Alcochete,36,11,0,2,2,0,1,0,0,1,3,8,
Almada,467,80,16,16,14,5,9,3,6,10,8,4,
Barreiro,215,26,9,11,3,1,1,1,7,1,4,5,
Moita,182,26,5,2,1,0,1,0,4,5,0,1,
Montijo,142,28,8,6,1,1,3,2,5,0,2,2,
Palmela,106,16,4,3,1,5,0,0,0,6,3,4,
Seixal,293,55,16,2,8,4,9,2,4,11,3,3,
Sesimbra,68,13,3,0,1,0,5,4,1,4,1,0,
Setubal,290,53,13,5,3,14,5,4,1,9,9,6,
