-,2021,2022,2023,
Amadora,11771,683,588,
Cascais,8228,937,842,
Lisboa,22556,2621,2001,
Loures,10246,778,508,
Mafra,2970,143,175,
Odivelas,7101,1001,508,
Oeiras,7434,572,397,
Sintra,17330,1207,890,
VilaFrancaDeXira,6243,334,397,
Alcochete,778,48,191,
Almada,9197,492,445,
Barreiro,4146,95,270,
Moita,3415,32,159,
Montijo,2923,111,143,
Palmela,2049,95,207,
Seixal,5814,365,334,
Sesimbra,1334,159,95,
Setubal,5734,413,397,
