-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;1692.6066353599467;1654.458134912857;1603.3692241313997;1585.7251067436703;1572.5091034283682;
Cascais;2744.224394621839;2996.243323041563;2654.5383480600904;3416.6565280843806;3453.795366348026;
Lisboa;3121.7937006478182;3145.5510154390445;2937.0869811924326;2813.551760247077;2861.017930338187;
Loures;1699.06603391593;1637.37916568304;1597.5192126044612;1549.365662779379;1504.3186130101612;
Mafra;1599.6152863255245;1575.8241029387561;1522.7903444957915;1567.2402519811578;1729.1133646551764;
Odivelas;1984.7765339122384;2023.7162117672035;1864.5364556465954;1849.2441298884978;1825.731783196306;
Oeiras;2541.805659435338;3772.9880727846567;5643.282087690568;7438.3873302278425;5416.530468885937;
Sintra;1926.0354088914532;2314.2949418785083;2571.434334731961;3110.2304278331862;3471.3497973009635;
VilaFrancaDeXira;1467.4122198190612;1384.8742140670863;1329.6688073727487;1319.3841166511297;1297.776622552556;
Alcochete;1409.76;1388.684088;1354.2098310575998;1300.8485604167045;0;
Almada;1753.0;1718.1153000000002;1651.3325666491041;1617.5714493321439;1553.8326801183746;
Barreiro;1273.793254643405;1255.7993448904494;1333.8836887171003;1147.8943998683326;1625.5815651291925;
Moita;1004.8784423206647;969.0688806556069;936.7251991515001;902.6333360468151;881.9081804448357;
Montijo;1393.5154592359122;1335.7187123087388;1297.9727942567206;1258.285285513731;1248.227404062493;
Palmela;1396.3339501770133;1261.3887;1223.8132170332385;1187.572421728733;1177.2521275145452;
Seixal;1534.767202923976;1772.1508260548276;3374.1092750992852;1651.5041899276266;2699.384004905266;
Sesimbra;1589.360653982427;1537.979004385569;1503.2441390226645;1491.5242824188313;1433.5006842221344;
Setubal;1402.2993191421376;1288.336662301329;1358.06356738342;1294.5644917497877;1360.1914703773023;
