-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,1831,1883,1739,1965,2047,2044,2131,2171,2167,2266,2387,2391,
Cascais,2595,2936,3044,3162,3273,3237,3415,3307,3517,3725,3571,3655,
Lisboa,3233,3598,3966,4104,4223,4347,4530,4621,4921,4966,5840,5491,
Loures,1868,2004,1992,2131,2232,2239,2366,2352,2515,2526,2470,2750,
Mafra,1597,1885,1941,2235,2031,2196,2327,2212,2491,2354,2357,1973,
Odivelas,2038,2178,2273,2401,2454,2434,2454,2545,2557,2663,2660,2801,
Oeiras,2455,2537,2531,2740,2508,2732,2440,2851,2927,3042,3064,3041,
Sintra,1385,1488,1510,1673,1659,1786,1836,1851,1991,2207,1950,2203,
VilaFrancaDeXira,1450,1462,1502,1583,1577,1588,1668,1700,1665,1637,1774,1805,
Alcochete,1753,1967,2189,1898,2581,1766,2251,2444,2615,2681,2084,2004,
Almada,1732,1688,1936,2074,2167,2114,2400,2360,2466,2259,2510,2659,
Barreiro,1178,1443,1237,1272,1479,1237,1505,1293,1570,1679,1456,1388,
Moita,1065,866,1103,1003,1443,1024,1261,1397,1496,1548,1606,1591,
Montijo,1467,1677,1652,1721,2005,2064,1913,1832,1780,2146,2120,1854,
Palmela,1222,1172,1186,1392,1311,1340,1304,1844,2038,1425,1813,2321,
Seixal,1414,1671,1804,1811,1938,1971,2124,2133,2056,2321,2406,2611,
Sesimbra,1471,1570,1536,1700,1573,1731,1725,2053,1746,1968,2091,2095,
Setubal,1255,1562,1524,1641,1636,1716,1674,1759,1667,2004,1932,1789,
